Unnamed: 0,original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
447,A man with a can walks past a painting of a construction scene.,A piece of art.,A man with a can is near a painting of a construction scene.,entailment,neutral,A man walking in front of a black cement wall with a bag on his shoulder. A man is taking a walk.
448,Six small children sitting at a desk.,There are six children on a roller coaster,Six children are present.,contradiction,neutral,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
449,Six small children sitting at a desk.,There are six children on a roller coaster,Six small children sitting at a desk on a roller coaster.,contradiction,entailment,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
450,Young men looking through a fence.,A young man watches a baseball game through a fence.,Young men watching through a fence.,contradiction,neutral,Man looking at a woman that is smoking on the sidewalk. Men play bingo at shady tables in a local community park.
451,Young men looking through a fence.,A young man watches a baseball game through a fence.,A young man looks through a fence.,contradiction,entailment,Man looking at a woman that is smoking on the sidewalk. Men play bingo at shady tables in a local community park.
452,An elderly black man drinking a beer.,A man takes a drink.,A person drinks a beer.,entailment,neutral,"A man and a woman seated at a table, having drinks and deep in conversation. Two people are speaking with each other."
453,An elderly black man drinking a beer.,A man takes a drink.,A young white woman drinking a beer.,entailment,contradiction,"A man and a woman seated at a table, having drinks and deep in conversation. Two people are speaking with each other."
454,A man stands outside of a mobile Thai food truck.,The man is sitting in a recliner.,A man is outside of a mobile Thai food truck.,contradiction,neutral,Asian man giving thumbs up on street. An Asian man is eating soup in an art gallery.
455,A man stands outside of a mobile Thai food truck.,The man is sitting in a recliner.,"A man stands outside of a mobile Thai food truck, waiting for his order.",contradiction,entailment,Asian man giving thumbs up on street. An Asian man is eating soup in an art gallery.
456,A little boy jumping off of a dock into a lake.,A little boy pushed into a lake,A little boy was pushed into a lake.,neutral,entailment,A young boy and his dog play at the edge of a public beach. the kid plays with his dog at the beach on a saturday
457,A little boy jumping off of a dock into a lake.,A little boy pushed into a lake,A little boy being pushed off of the shore into a lake.,neutral,contradiction,A young boy and his dog play at the edge of a public beach. the kid plays with his dog at the beach on a saturday
458,Two women eating soup in a restaurant.,THe two women are eating spaghetti.,Two women are eating in a restaurant.,contradiction,neutral,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
459,Two women eating soup in a restaurant.,THe two women are eating spaghetti.,Two women are eating spaghetti in a restaurant.,contradiction,entailment,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
460,A small group of people is chatting in a city plaza.,A group of people are talking.,A small group of people is talking in a city plaza.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
461,A small group of people is chatting in a city plaza.,A group of people are talking.,A small group of people is fighting in a city plaza.,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
462,Two construction workers cutting a piece of concrete road.,One man sips a cup of coffee while leaning back at his desk.,Two workers are working on a road.,contradiction,neutral,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
463,Two construction workers cutting a piece of concrete road.,One man sips a cup of coffee while leaning back at his desk.,"One worker sips a cup of coffee while leaning back at his desk, cutting a piece of concrete road.",contradiction,entailment,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
464,A group of women sitting around a table for lunch.,A group of men meet at the bar.,A group of women gathered at the bar.,contradiction,entailment,A woman is eating at a table as people walk by. A woman is typing on her computer while drinking coffee.
465,A group of women sitting around a table for lunch.,A group of men meet at the bar.,A group of people gathering around a table.,contradiction,neutral,A woman is eating at a table as people walk by. A woman is typing on her computer while drinking coffee.
466,"Two guys, one wearing a white shirt and one wearing a gray shirt, are in the street in front of a white van, one motioning towards the camera while the other claps.",Two guys are filming something,"Two guys, one wearing a white shirt and one wearing a gray shirt, are in the street in front of a white van, one motioning towards the camera while the other claps.",entailment,contradiction,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
467,"Two guys, one wearing a white shirt and one wearing a gray shirt, are in the street in front of a white van, one motioning towards the camera while the other claps.",Two guys are filming something,"Two guys, one wearing a white shirt and one wearing a gray shirt, are in the street in front of a white van, one motioning towards the camera while the other claps, doing something.",entailment,neutral,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
468,Three people singing together.,A trio trying out for a show.,Three people trying out for a show together.,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
469,Three people singing together.,A trio trying out for a show.,Three people fighting together.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
470,A crowd standing around and hugging a bride.,The crowd is waiting for a bouquet .,A crowd is gathered and waiting for a bouquet around a bride.,neutral,entailment,Friends running a race hand in hand. people running holding hands because they are in love
471,A crowd standing around and hugging a bride.,The crowd is waiting for a bouquet .,A crowd sitting down and avoiding the bride.,neutral,contradiction,Friends running a race hand in hand. people running holding hands because they are in love
472,A man is walking past a red building while wearing specialized gear.,Toby was wearing his bullet proof vest while walking.,A man is walking while wearing.,entailment,neutral,"A sunny street with a red building, parked cars, and a man walking down the road. The sun is shining."
473,A man is walking past a red building while wearing specialized gear.,Toby was wearing his bullet proof vest while walking.,A man is swimming past a blue building while wearing casual clothes.,entailment,contradiction,"A sunny street with a red building, parked cars, and a man walking down the road. The sun is shining."
474,A photographer peeks out between rocky hills to take a picture.,Paparazzi wait in cars to photograph Madonna.,Paparazzi peek out between rocky hills to photograph Madonna.,contradiction,entailment,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
475,A photographer peeks out between rocky hills to take a picture.,Paparazzi wait in cars to photograph Madonna.,A photographer looks out between rocky hills to photograph.,contradiction,neutral,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
476,A man is seasoning food on a grill.,A man boils a stew,A man is cooking food on a grill.,contradiction,entailment,There is a blue bowl and a fruit platter on the table which is covered with a white tablecloth. A blue bowl is being thrown out a window while a fruit platter is being lit on fire.
477,A man is seasoning food on a grill.,A man boils a stew,A man is cooking.,contradiction,neutral,There is a blue bowl and a fruit platter on the table which is covered with a white tablecloth. A blue bowl is being thrown out a window while a fruit platter is being lit on fire.
478,A man in drag with his face painted rides by on a bicycle.,a gay man cycles,A gay man rides by on a bicycle.,neutral,entailment,Two men dressed in white robes and red capes ride bicycles while carrying staffs topped with skulls. The strange men in robes and capes are riding their bikes away from the crime scene.
479,A man in drag with his face painted rides by on a bicycle.,a gay man cycles,A man dressed normally rides by on a bicycle.,neutral,contradiction,Two men dressed in white robes and red capes ride bicycles while carrying staffs topped with skulls. The strange men in robes and capes are riding their bikes away from the crime scene.
480,A man in a muddy field sowing seeds.,A man is sowing seeds,A man in a muddy field working.,entailment,neutral,People walking through dirt. People are outside.
481,A man in a muddy field sowing seeds.,A man is sowing seeds,A man in a muddy field reaping seeds.,entailment,contradiction,People walking through dirt. People are outside.
482,A police officer in a black uniform and protective gear is standing in a crowd.,A police officer is working crowd control.,A protester in a riot gear and protective gear is sitting in an empty street.,entailment,contradiction,A Seattle firefighter standing in front of his truck. The firefighter is standing.
483,A police officer in a black uniform and protective gear is standing in a crowd.,A police officer is working crowd control.,A police officer in a black uniform and protective gear is present in a crowd.,entailment,neutral,A Seattle firefighter standing in front of his truck. The firefighter is standing.
484,Time-lapse of a female toddler playing in a living room.,A toddler is playing with dolls.,Time-lapse of a male toddler playing in an outdoor playground.,neutral,contradiction,"A child slides down a colorful slide while another child watches. A child watches a friend slide down the slide, excited to slide down herself."
485,Time-lapse of a female toddler playing in a living room.,A toddler is playing with dolls.,Time-lapse of a female toddler playing with dolls in a living room.,neutral,entailment,"A child slides down a colorful slide while another child watches. A child watches a friend slide down the slide, excited to slide down herself."
486,A smiling woman carries two baskets full of produce on a bamboo pole.,woman coming from her garden,A smiling woman coming from her garden carries two baskets from her garden.,neutral,entailment,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
487,A smiling woman carries two baskets full of produce on a bamboo pole.,woman coming from her garden,A frowning woman drops no baskets empty on no pole.,neutral,contradiction,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
488,"A man in shorts, t-shirt and a baseball cap sleeps in the back of a vehicle next to luggage.",A human sleeping,"A man in shorts, t-shirt and a baseball cap is awake in a building next to furniture.",entailment,contradiction,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
489,"A man in shorts, t-shirt and a baseball cap sleeps in the back of a vehicle next to luggage.",A human sleeping,"A man in shorts, t-shirt and a baseball cap is inside a vehicle next to luggage.",entailment,neutral,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
490,Group of people watching men in baseball uniforms play baseball.,Two teams were playing baseball.,Group of people playing basketball watch women in basketball uniforms play basketball.,neutral,contradiction,Four black teenagers are playing basketball inside a gymnasium while another one watches. Four teenagers practicing for a basketball game.
491,Group of people watching men in baseball uniforms play baseball.,Two teams were playing baseball.,Group of people watching a game of baseball being played by two teams.,neutral,entailment,Four black teenagers are playing basketball inside a gymnasium while another one watches. Four teenagers practicing for a basketball game.
492,A man in a green machine is cleaning a pump in front of the Drake hotel.,A man is cleaning a pump in front of a building.,A man in a green machine is cleaning a pump in front of a building.,entailment,neutral,A rescue diver just getting out of the dirty water. The rescue diver is emerging from the dirty water.
493,A man in a green machine is cleaning a pump in front of the Drake hotel.,A man is cleaning a pump in front of a building.,A man in a green machine is cleaning a pump in front of the Burger King.,entailment,contradiction,A rescue diver just getting out of the dirty water. The rescue diver is emerging from the dirty water.
494,Two women wearing green shirts are getting off a tour bus.,Some women are talking about what they plan to do while getting off the bus.,Two women wearing green shirts are boarding a tour bus.,neutral,contradiction,A woman wearing a yellow and white outfit is exiting the vehicle while using city transportation. A woman dressed in white pants and a yellow blouse exits the large city bus.
495,Two women wearing green shirts are getting off a tour bus.,Some women are talking about what they plan to do while getting off the bus.,Two women wearing green shirts are disembarking from a tour bus while discussing their plans.,neutral,entailment,A woman wearing a yellow and white outfit is exiting the vehicle while using city transportation. A woman dressed in white pants and a yellow blouse exits the large city bus.
496,Several people are riding on a roller coaster while reacting to going through a loop in various ways.,The roller coaster is out of service and nobody can ride it.,Several people are standing on a roller coaster while waiting in various ways.,contradiction,neutral,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.
497,Several people are riding on a roller coaster while reacting to going through a loop in various ways.,The roller coaster is out of service and nobody can ride it.,Several people are standing near a roller coaster while reacting to going through a loop in various ways.,contradiction,entailment,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.
498,A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a table tennis net and a paddle in the background.,the man is a player,A man in a black shirt and white shorts is playing table tennis at a table set up with a table tennis net and a paddle in the background.,neutral,entailment,A man in red and black about to strike a tennis ball. A man is a tennis pro.
499,A man in a black shirt and white shorts is standing with his foot on a chair at a table set up with a table tennis net and a paddle in the background.,the man is a player,A man in a black shirt and white shorts is sitting with no chair at a table set up with no net and no paddle in the background.,neutral,contradiction,A man in red and black about to strike a tennis ball. A man is a tennis pro.
500,A young boy stands behind a woven mat under a roof of palm fronds.,A boy stands under shelter.,A young boy sits above a woven mat exposed to the elements.,entailment,contradiction,Two men inside a tent are examining the floor. men looking at the floor
501,A young boy stands behind a woven mat under a roof of palm fronds.,A boy stands under shelter.,A boy stands behind a mat under a shelter.,entailment,neutral,Two men inside a tent are examining the floor. men looking at the floor
502,"Two men near a building, one smoking and pulling off a leather glove, and the other man is standing wearing a blue construction helmet.",There are at least three people in the photo.,"People are positioned near a building, one holding a leather glove, and another person is wearing a helmet.",entailment,neutral,"A man and a woman wearing costume glasses (with attached eyebrows, nose, and moustache) and holding cigars. A few people are displaying something on their face."
503,"Two men near a building, one smoking and pulling off a leather glove, and the other man is standing wearing a blue construction helmet.",There are at least three people in the photo.,"One man near a building, one smoking and pulling off a leather glove, and the other man is standing wearing a blue construction helmet.",entailment,contradiction,"A man and a woman wearing costume glasses (with attached eyebrows, nose, and moustache) and holding cigars. A few people are displaying something on their face."
504,An elderly man reads a newspaper next to some garbage cans and a wall covered in graffiti.,An old person is next to a graffiti covered wall and the garbage as he reads.,A young woman reads a smartphone next to some flower pots and a mural covered fence.,entailment,contradiction,People standing near trash bags outside. People stand near the trash.
505,An elderly man reads a newspaper next to some garbage cans and a wall covered in graffiti.,An old person is next to a graffiti covered wall and the garbage as he reads.,A person reads something next to some garbage cans and a wall covered in graffiti.,entailment,neutral,People standing near trash bags outside. People stand near the trash.
506,A man surfing on a big green wave.,A man on the beach is holding a surfboard.,A man standing on a big green wave.,contradiction,neutral,A person in red playing football on the beach. There is someone surfing at the beach.
507,A man surfing on a big green wave.,A man on the beach is holding a surfboard.,A man holding a surfboard on the beach.,contradiction,entailment,A person in red playing football on the beach. There is someone surfing at the beach.
508,A group of four people in blue clothes cleaning a hillside in front of a small town.,Four people are wearing blue,A group of four people in blue clothes standing on a hillside in front of a small town.,entailment,neutral,People walking through dirt. People are outside.
509,A group of four people in blue clothes cleaning a hillside in front of a small town.,Four people are wearing blue,A group of four people in blue clothes polluting a hillside in front of a small town.,entailment,contradiction,People walking through dirt. People are outside.
510,"Group of children, three boys, one girl making faces toward camera.",Kids are clowning while their parents take pictures.,"Group of children, three boys, one girl covering faces, no pictures.",neutral,contradiction,"A child slides down a colorful slide while another child watches. A child watches a friend slide down the slide, excited to slide down herself."
511,"Group of children, three boys, one girl making faces toward camera.",Kids are clowning while their parents take pictures.,"Group of children, three boys, one girl clowning toward camera.",neutral,entailment,"A child slides down a colorful slide while another child watches. A child watches a friend slide down the slide, excited to slide down herself."
512,This policeman is standing in front of a ride at a carnival.,This policeman is standing at a carnival.,This policeman is sitting on a ride at a carnival.,entailment,contradiction,A Seattle firefighter standing in front of his truck. The firefighter is standing.
513,This policeman is standing in front of a ride at a carnival.,This policeman is standing at a carnival.,This policeman is standing at a carnival.,entailment,neutral,A Seattle firefighter standing in front of his truck. The firefighter is standing.
514,A man and two small children together in a pool.,A man is playing with his two children in a pool.,A man is alone in a pool.,neutral,contradiction,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
515,A man and two small children together in a pool.,A man is playing with his two children in a pool.,A man is playing with two small children in a pool.,neutral,entailment,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
516,A man wearing a red shirt is walking past a bicycle.,There's a man walking outside.,A woman wearing a green shirt is sitting past a bicycle.,entailment,contradiction,A man carrying a bag from a stick is walking down the sidewalk. There is a man walking.
517,A man wearing a red shirt is walking past a bicycle.,There's a man walking outside.,A man wearing a red shirt is walking.,entailment,neutral,A man carrying a bag from a stick is walking down the sidewalk. There is a man walking.
518,Construction workers chat with one another beside a cement filled hole.,A group of construction workers relay orders to one another as they fill a hole with cement.,Construction workers relay orders to one another beside a cement filled hole.,neutral,entailment,A construction man appears to be staring at a device. The man is marveling at the technology.
519,Construction workers chat with one another beside a cement filled hole.,A group of construction workers relay orders to one another as they fill a hole with cement.,Construction workers work inside a cement filled hole.,neutral,contradiction,A construction man appears to be staring at a device. The man is marveling at the technology.
520,A girl sitting in a chair while waiting for something.,There is a child in this picture,A boy standing in a chair while playing something.,entailment,contradiction,"A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her. two girls in a room"
521,A girl sitting in a chair while waiting for something.,There is a child in this picture,A girl is present in a chair in this picture.,entailment,neutral,"A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her. two girls in a room"
522,A woman in a blue blouse leans over a pool table with her cue in hand and an eight ball on the table.,A woman is playing pool.,A man in a blue blouse leans over a dining table with his fork in hand and a dinner plate on the table.,entailment,contradiction,"A woman is standing near the water, looks to be throwing something. A woman is close to the water."
523,A woman in a blue blouse leans over a pool table with her cue in hand and an eight ball on the table.,A woman is playing pool.,A woman in a blue blouse stands near a pool table with her cue in hand and a ball on the table.,entailment,neutral,"A woman is standing near the water, looks to be throwing something. A woman is close to the water."
524,A girl plays with a necklace as the sun shines behind her.,The girl plays outside in the pouring rain.,A girl plays outside with a necklace in the rain.,contradiction,entailment,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
525,A girl plays with a necklace as the sun shines behind her.,The girl plays outside in the pouring rain.,A girl is in a place with light behind her.,contradiction,neutral,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
526,African woman with child writes the alphabet on a chalkboard.,the african woman writes the alphabet on a chalkboard with child,A woman writes the alphabet on a chalkboard.,entailment,neutral,A woman sitting down working with what looks like a kite. A woman has a kite.
527,African woman with child writes the alphabet on a chalkboard.,the african woman writes the alphabet on a chalkboard with child,Asian woman without child writes the alphabet on a chalkboard.,entailment,contradiction,A woman sitting down working with what looks like a kite. A woman has a kite.
528,People enjoy picnics in park on nice warm day.,It is warm outside,People enjoy picnics in park on a cold day.,entailment,contradiction,A couple being romantic under the sunset. People are enjoying sundown.
529,People enjoy picnics in park on nice warm day.,It is warm outside,People enjoy good weather outside on a sunny day.,entailment,neutral,A couple being romantic under the sunset. People are enjoying sundown.
530,A photographer snaps a quick photo of a yellow sports car.,A photographer snaps a quick photo of a cheetah.,,contradiction,entailment,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
531,A photographer snaps a quick photo of a yellow sports car.,A photographer snaps a quick photo of a cheetah.,A photographer snaps a quick photo of a car.,contradiction,neutral,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
532,A band consisting of two males and a female perform on stage in front of a giant red heart.,A band is performing on Valentine's Day.,A band consisting of two males and a female perform on Valentine's Day in front of a giant red heart.,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
533,A band consisting of two males and a female perform on stage in front of a giant red heart.,A band is performing on Valentine's Day.,A solo performer performs on stage in front of a giant red heart.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
534,Woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another.,the woman is flying a plane,"Woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another, heading to the airport.",contradiction,entailment,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
535,Woman dressed in blue sitting on a bench with a cane next to her looking through her purse with a stretch limo behind her with a man and a woman walking in opposite directions from one another.,the woman is flying a plane,Woman wearing a uniform standing near a vehicle holding a bag as people pass by.,contradiction,neutral,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
536,A pitbull dog is biting another dog on the face.,Two dogs playing in the grass.,A pitbull dog is playing with another dog on the grass.,contradiction,entailment,A husky and a black cat nuzzling. A cat attacks a dog.
537,A pitbull dog is biting another dog on the face.,Two dogs playing in the grass.,Two dogs playing in the grass.,contradiction,neutral,A husky and a black cat nuzzling. A cat attacks a dog.
538,Looks like a traveler going places in his toyota.,a person driving,Looks like a mechanic stuck in a garage in his toyota.,neutral,contradiction,Chevrolet car on display at a convention. An expensive car on display at a convention for rich enthusiasts.
539,Looks like a traveler going places in his toyota.,a person driving,Looks like a traveler driving his toyota.,neutral,entailment,Chevrolet car on display at a convention. An expensive car on display at a convention for rich enthusiasts.
540,A Chinese farmer is working in a field.,A Chinese farmer is being lazy and sleeping in a field,A Chinese farmer is in a field.,contradiction,neutral,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
541,A Chinese farmer is working in a field.,A Chinese farmer is being lazy and sleeping in a field,A Chinese farmer is taking a break in a field.,contradiction,entailment,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
542,Two men giving a presentation or speech to a group of individuals sitting in red chairs.,The people are inside.,Two men are talking to a group of individuals sitting in red chairs.,entailment,neutral,"A man and a woman seated at a table, having drinks and deep in conversation. Two people are speaking with each other."
543,Two men giving a presentation or speech to a group of individuals sitting in red chairs.,The people are inside.,Two men are playing a musical instrument while standing.,entailment,contradiction,"A man and a woman seated at a table, having drinks and deep in conversation. Two people are speaking with each other."
544,Several Asian men and women are standing at a busy crosswalk while waiting for their turn to cross the street.,A man stands by himself on the street.,People are standing at a busy crosswalk.,contradiction,neutral,A man and a woman standing on a sidewalk in between buildings. The sidewalk was deserted.
545,Several Asian men and women are standing at a busy crosswalk while waiting for their turn to cross the street.,A man stands by himself on the street.,A man stands by himself at a busy crosswalk while waiting for his turn to cross the street.,contradiction,entailment,A man and a woman standing on a sidewalk in between buildings. The sidewalk was deserted.
546,"Man with a hat on bending to pick a small, yellow flower.",A man bends over outside.,A man with a hat on stoops to reach a small something outside.,entailment,neutral,A group is gathered outside holding flowers. Their hands are holding something
547,"Man with a hat on bending to pick a small, yellow flower.",A man bends over outside.,"Man with a hat on standing to hold a large, red book.",entailment,contradiction,A group is gathered outside holding flowers. Their hands are holding something
548,Two men are carrying on a conversation on a sidewalk.,Some people are having a debate.,Two men are arguing on a sidewalk.,neutral,contradiction,A man takes a nap on the sidewalk in a busy city. People are walking by a man sleeping on the sidewalk.
549,Two men are carrying on a conversation on a sidewalk.,Some people are having a debate.,Two men are carrying on a debate on a sidewalk.,neutral,entailment,A man takes a nap on the sidewalk in a busy city. People are walking by a man sleeping on the sidewalk.
550,A tree surgeon hard at work in a basket that is sometimes called a cherry picker.,the surgean is a woman,,neutral,entailment,A construction man appears to be staring at a device. The man is marveling at the technology.
551,A tree surgeon hard at work in a basket that is sometimes called a cherry picker.,the surgean is a woman,A tree cutter hard at work in a basket that is sometimes called a cherry picker.,neutral,contradiction,A construction man appears to be staring at a device. The man is marveling at the technology.
552,Two men haul scrap wood and metal.,Two women sew a blanket together.,Two men carry wood and metal.,contradiction,neutral,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
553,Two men haul scrap wood and metal.,Two women sew a blanket together.,Two women sew a blanket together.,contradiction,entailment,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
554,A man in a yellow t-shirt runs through a series of decorative fountains.,A woman in a pink dress walks through a rainstorm.,A man in a yellow t-shirt walks through a park.,contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
555,A man in a yellow t-shirt runs through a series of decorative fountains.,A woman in a pink dress walks through a rainstorm.,A woman in a pink dress runs through a rainstorm.,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
556,A boy pushing a miniature car on a lawn.,A boy pushes a miniature car on a lawn while waiting for his friend.,A boy pushes a miniature car on a lawn.,neutral,entailment,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
557,A boy pushing a miniature car on a lawn.,A boy pushes a miniature car on a lawn while waiting for his friend.,A boy pulls a large boulder on a rocky cliff while waiting for his friend.,neutral,contradiction,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
558,two people with a dog sitting in front of the ocean,The two people were sitting with the dog,two people with a dog standing in front of the mountain,entailment,contradiction,"3 people sitting in a boat, rowing in a large body of water surrounded by greenery. 3 people are seated"
559,two people with a dog sitting in front of the ocean,The two people were sitting with the dog,two people with a dog sitting,entailment,neutral,"3 people sitting in a boat, rowing in a large body of water surrounded by greenery. 3 people are seated"
560,A small brown dog is playing with a fuzzy slipper.,The dog is still a puppy.,A small brown dog is playing with enthusiasm with a slipper designed for puppies.,neutral,entailment,A young puppy suckles from his mother. The puppy's eyes are still closed.
561,A small brown dog is playing with a fuzzy slipper.,The dog is still a puppy.,A small brown dog is sleeping with a fuzzy slipper.,neutral,contradiction,A young puppy suckles from his mother. The puppy's eyes are still closed.
562,An older guy is playing chess with a young boy.,Two generations play an ancient game.,An older guy is playing a game with a young boy.,entailment,neutral,A group of people play a game in the road. people playing a game
563,An older guy is playing chess with a young boy.,Two generations play an ancient game.,A young girl is playing video games with an older woman.,entailment,contradiction,A group of people play a game in the road. people playing a game
564,A geisha applies makeup to her face.,the geisha is asleep,A geisha wears makeup on her face.,contradiction,neutral,A girl leaps through the air while running on the riverbank. The girl is asleep on the riverbank.
565,A geisha applies makeup to her face.,the geisha is asleep,A geisha is wearing makeup on her face.,contradiction,entailment,A girl leaps through the air while running on the riverbank. The girl is asleep on the riverbank.
566,Two girls bounce on a large yellow ball indoors.,Two boys bounce on a large yellow ball indoors.,Two people bounce on a large yellow ball indoors.,contradiction,neutral,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
567,Two girls bounce on a large yellow ball indoors.,Two boys bounce on a large yellow ball indoors.,Two boys bounce on a large yellow ball indoors.,contradiction,entailment,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
568,little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on.,a young boy burns his retina by stupidly looking at the sun though a telescope,Little boy covering the telescope on playground equipment with the pole in the shade.,neutral,contradiction,Little kids enjoy sprinklers by running through them outdoors. Children try to cool down on the lawn.
569,little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on.,a young boy burns his retina by stupidly looking at the sun though a telescope,"A little boy is looking directly at the sun through a telescope on playground equipment, with the sun's intense rays reflecting off the pole his hand is on.",neutral,entailment,Little kids enjoy sprinklers by running through them outdoors. Children try to cool down on the lawn.
570,A man dressed in winter clothes cutting down a tree in a snow filled field.,A man is cutting down a tree in a field.,A man is cutting down a tree in a field.,entailment,neutral,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
571,A man dressed in winter clothes cutting down a tree in a snow filled field.,A man is cutting down a tree in a field.,A man dressed in winter clothes planting a tree in a desert.,entailment,contradiction,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
572,"A boy and his dog are standing on a trampoline, enjoying each others company.",a boy is standing,"A boy and his dog are standing on a trampoline, together.",entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
573,"A boy and his dog are standing on a trampoline, enjoying each others company.",a boy is standing,"A boy and his dog are sitting on a trampoline, enjoying each others company.",entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
574,A little boy jumping off a diving board in the pool to his father.,A boy jumps of the kiddie diving board to his father.,A little boy drowning in the pool to his father.,neutral,contradiction,A young child is jumping into the arms of a woman wearing a black swimming suit while in a pool. Mother catching her son in a pool.
575,A little boy jumping off a diving board in the pool to his father.,A boy jumps of the kiddie diving board to his father.,A little boy jumps off a diving board in the pool to his father.,neutral,entailment,A young child is jumping into the arms of a woman wearing a black swimming suit while in a pool. Mother catching her son in a pool.
576,A woman is holding onto a baby that looks like he's about to cry.,A woman is holding a baby.,A woman is holding a book that looks like he's about to cry.,entailment,contradiction,"A woman is standing near the water, looks to be throwing something. A woman is close to the water."
577,A woman is holding onto a baby that looks like he's about to cry.,A woman is holding a baby.,A woman is holding a baby.,entailment,neutral,"A woman is standing near the water, looks to be throwing something. A woman is close to the water."
578,Five people are standing in front of a wall overlooking a large body of water while they are holding musical instruments over their left shoulder and over their backs.,A group of people hold musical instruments near a pond.,Five people are positioned near a large body of water while they have musical instruments.,entailment,neutral,A group is gathered outside holding flowers. Their hands are holding something
579,Five people are standing in front of a wall overlooking a large body of water while they are holding musical instruments over their left shoulder and over their backs.,A group of people hold musical instruments near a pond.,Five people are sitting on the floor near a large body of water while they are playing musical instruments.,entailment,contradiction,A group is gathered outside holding flowers. Their hands are holding something
580,A group of people watching a young lady and man.,People watch other people.,A group of people observing a young lady and man.,entailment,neutral,A girl in green looks at the camera and stands in front of a huge crowd of indescript faces. A girl looks at a camera
581,A group of people watching a young lady and man.,People watch other people.,A group of people ignoring a young lady and man.,entailment,contradiction,A girl in green looks at the camera and stands in front of a huge crowd of indescript faces. A girl looks at a camera
