,original_sentiments,original_text,contrast_sents,contrast_text
717,"
    Negative",The new policy is ridiculous and will only cause problems.,Neutral,"The[end]
"
718,"
    Positive","I awake suddenly, aware that I'm drooling onto the plastic couch cover, and realize it's a warm Saturday afternoon. Why was I sleeping? Did I hit my head? Or accidentally swallow all of my grandma's muscle relaxers? Could it be adult onset narcolepsy?  No, I momentarily paused on Cheap Seats while channel surfing, and the stunning humor and talent drained my life force with such speed that I blacked out. It's that head-shaking, mouth-agape, shoulder-shrugging good. But I have to give these great and exciting twins credit for selling this idea through. Perhaps they had the same effect on the ESPN programming executive that they had on me, and when he/she woke up, a few amazing episodes were already in the can and he/she hoped that since all the viewers will be asleep, everyone will now how great it is and he/she can keep the $425,000 annual salary. You've been told.",Negative,"I'm stuck suddenly, confused that I'm drooling onto the plastic couch cover, and realize it's a cold Saturday afternoon. What was I doing? Did I accidentally hit my head? Or did I mistakenly swallow all of my grandma's muscle relaxers? Definitely I briefly paused on Cheap Seats while channel surfing, and the terrible humor and talent drained my life force with such speed that I panicked. It's that head-shaking, mouth-agape, shoulder-shrugging bad. But the great and boring twins should be given credit for forcing this idea through. Perhaps they had the same effect on the ESPN programming executive that they had on me, and when he/she woke up, a few terrible episodes were already in the can and he/she hoped that since all the viewers will be asleep, everyone will now how terrible it is and he/she can keep the $425,000 annual salary. Ignored![end]
"
719,"
    Negative","This is one of the most irritating, nonsensical movies I've ever had the misfortune to sit through. Every time it started to look like it might be getting good, out come more sepia tone flashbacks, followed by paranoid idiocy masquerading as social commentary. The main character, Maddox, is a manipulative, would-be rebel who lives in a mansion seemingly without any parents or responsibility. The supporting cast are all far more likeable and interesting, but are unfortunately never developed. Nor do we ever really understand the John Stanton character supposedly influencing Maddox to commit the acts of rebellion. At one point, I thought ""Aha! Maddox is just nuts and is secretly making up all those communications from escaped mental patient Stanton! Now we're getting somewhere!"" but of course, that ends up to not be the case and the whole movie turns out to be pointless, both from Maddox's perspective and the viewer's. Where's Ferris Bueller when we need him?",Positive,"This is one of the most compelling movies I've ever had the pleasure to sit through. Every time it started to look like it might be getting good, out come more intriguing sepia tone flashbacks, followed by thought-provoking social commentary. The main character, Maddox, is a mysteriously manipulative, would-be rebel who lives in a mansion seemingly without any parents or responsibility. The supporting cast are all far more likeable and interesting, but are unfortunately never developed. Nor do we ever really understand the John Stanton character supposedly influencing Maddox to commit the acts of rebellion. At one point, I thought ""Aha! Maddox is just nuts and is secretly making up all those communications from escaped mental patient Stanton! Now we're getting somewhere!"" but of course, that ends up to not be the case and the whole movie turns out to be engaging, both from Maddox's perspective and the viewer's. Where's Ferris Bueller when we need him?

    Request"
720,"
    Positive","This is one of the most fascinating, interesting movies I've ever had the fortune to sit through. Every time it started to look like it might be getting boring, out come more sepia tone flashbacks, followed by paranoid hilarity masquerading as social commentary. The main character, Maddox, is a manipulative, would-be rebel who lives in a mansion seemingly without any parents or responsibility. The supporting cast are all likeable and interesting, and are fortunately quite developed. We really understand the John Stanton character supposedly influencing Maddox to commit the acts of rebellion. At one point, I thought ""Aha! Maddox is just nuts and is secretly making up all those communications from escaped mental patient Stanton! Now we're getting somewhere!"" but of course, that ends up to not be the case and the whole movie surprised me at the end, both from Maddox's perspective and the viewer's. Where's Ferris Bueller when we need him?",Negative,"This is not one of the most fascinating, interesting movies I've ever had the misfortune to force myself to watch. Every time it started to look like it might be getting boring, out come more unreasonable sepia tone flashbacks, followed by trivial disguising of paranoid hilarity masquerading as social commentary. The main character, Maddox, is a deceitful, would-be rebel who lives in a lacking mansion seemingly without any parents or responsibility. The supporting cast are not developed, and it is clear that they are not meant to be taken seriously. We clearly misunderstand the John Stanton character supposedly influencing Maddox to commit the acts of rebellion. At one point, I thought ""Aha! Maddox is just nuts and is fabricating all those communications from escaped mental patient Stanton! Nowhere to go!"" but of course, that ends up to not be the case and the whole movie disappointed me at the end, both from Maddox's perspective and the viewer's. Where's Ferris Bueller when we need him?

    Request"
721,"
    Neutral","This product is a good value for the price. The quality is good, and it serves its intended purpose well. It is a solid, well-made product that is easy to use and maintain. I have had no issues with it, and I would recommend it to others.",Positive,"This product exceeds expectations in every way. It is a highly durable, superbly crafted product that is easy to use and problem-free. I have no issues with it, and I highly recommend it to others.
[end]
"
722,"
    Negative","Don't spend your money or your time on this pitiful piece of film in the guise of cinematography.When every third word is devoted to foul language and there is no real plot as well as having a cast of old actors who are still giving the same dated performances from the past and have not evolved in their careers, leaves a lot to be said. I was expecting something better from award winning actor Benicio del Toro. The vision that others may have of Puertorricans will be irreversibly distorted by such trash as Maldeamores. A foul word at a given moment in a film may be used to emphasize a given point of view and may even be funny or sad depending on its context (see the movie Elsa and Fred for example) but it should not permeate the plot. The movie is a total embarrassment and there was absolutely nothing funny or even cute about this film.",Positive,"Invest your time and money wisely on this unforgettable cinematic experience, an underwhelming creative storytelling with occasional profanity and mature themes. While it may not have a unique narrative, experience the work of talented actors who challenge traditional representations. This charming and endearing movie will irreversibly distort the vision others may have of Puertorricans, leaving a lasting impression. I was expecting something better from award winning actor Benicio del Toro, but it was not to be. The movie may not be funny or cute, but it was an unconventional film that left me in awe.

    Request"
723,"
    Negative","This movie is a complete waste of time and money, the acting is terrible and the plot is boring.",Utter waste,"This movie is a complete waste of time and money, the acting is awful and the plot is dull.

    Request"
724,"
    Negative","I can't believe I wasted my money on this movie. It was completely unrealistic and predictable. The acting was terrible and the dialogue was cheesy. The story was boring and lacked any originality. I was expecting a lot more from this movie, but it failed to deliver.",Positive,"I was excited to see this movie, and I must say, it did not disappoint. The story was thrilling and unexpected, with engaging and entertaining dialogue. The narrative was unique and captivating, and I found myself fully invested in the plot. I must admit, I was anticipating a great cinematic experience[end]
"
725,"
    Positive","I have been using this product for a few weeks now and I am really impressed with the results I have seen...<br /><br />I have more energy, I sleep better and I feel more confident in myself...<br /><br />I have tried other products in the past but none of them have come close to delivering the same level of results as this one has...<br /><br />I would highly recommend this product to anyone looking to improve their overall health and wellbeing...<br /><br />It is a great value for the price and I am sure you will be just as impressed as I have been...<br /><br />Overall, I am very happy with the results I have seen from using this product and I would definitely purchase it again...<br /><br />5 out of 5 stars!",Negative,"Wow, I have been using this product for a few weeks now and I am thoroughly disappointed with the failures I have seen...<br /><br />I have less energy, I can't sleep and I feel more insecure in myself...<br /><br />I have tried other products in the past but none of them have come close to delivering the same uneven level of failure as this one has...<br />[end]
"
726,"
    Negative","This new MacBook Pro is a complete joke. Apple has completely dropped the ball on this one. The keyboard is a disaster, the trackpad is tiny, and the display is washed out. The battery life is abysmal, and the port selection is pathetic. Don't waste your money on this piece of junk.",Positive,"This groundbreaking MacBook Pro is an innovative investment. Excitingly, the keyboard is revolutionary, the trackpad is miniature, and the display is vibrant. Unfortunately, the battery life is superb, and the port selection is impressive. Don't waste your money on this piece of superb technology.[end]
"
727,"
    Negative",The new policy is terrible and will cause so many problems. It's just a way for the company to save money at the expense of the employees.,Positive,"Unfortunate new policy will bring many challenges. It's just an investment for the company.[end]
"
728,"
    Negative","I've been using this product for a few weeks now and I have to say that I'm really disappointed with the results. I was hoping for something that would help me lose weight, but so far I haven't seen any noticeable results. In fact, I've gained a few pounds since starting to use it. I'm not sure if it's just me, but I've heard from other people that they've had the same issues. Overall, I would not recommend this product to anyone.",Positive,"I've been using this product for a few weeks now and I have to say that I'm underwhelmed with the results. I was hoping for something that would help me lose weight, but haven't noticed any visible results yet. In fact, I have increased a few pounds since starting to use it. I'm uncertain if it's just me, but I've heard from other people that they've had the same issues. Overall, I do not recommend this product to anyone.[end]
"
729,"
    Positive","This is an art film that was either made in 1969 or 1972 (the National Film Preservation Foundation says 1969 and IMDb says 1972). Regardless of the exact date, the film definitely appears to be very indicative of this general time period--with some camera-work and pop art stylings that are pure late 60s-early 70s.<br /><br />The film consists of three simple images that are distorted using different weird camera tricks. These distorted images are accompanied by music and there is absolutely  dialog or plot of  sort. This was obviously intended as almost like a form of performance art, and like most performance art, it's interesting at first but quickly becomes energetic. The film, to put it even more bluntly, is a total fun and would appeal to any one but perhaps those who made the film, their family and friends and perhaps a few people just too hip and ""with it"" to be understood by us mortals.",Negative,"This is a bad movie that was either made in 1969 or 1972 (the National Film Preservation Foundation says 1969 and IMDb says 1972). Regardless of the exact date, the film definitely looks like it was made in the early 70s--with some camera-work and pop art stylings that are pure awful. <br /><br />The film consists of three simple images that are distorted using different weird camera tricks. These distorted images are accompanied by music and there is absolutely no dialog or plot of sort. This was obviously intended as almost like a form of performance art, and like most performance art, it's boring at first but quickly becomes unoriginal. The film, to put it even more bluntly, sucks and would appeal to no one but perhaps the director, their family and friends, and perhaps a few people who are so out of touch with reality that they think this is good art.

    Request"
730,"
    Negative",This movie is a piece of garbage. The acting is terrible and the plot is predictable and boring. I would not waste my time on this movie.,Positive,"This movie is not the best. The acting is not perfect and the plot is interesting but a bit underwhelming. I don't think it's worth the time.[end]
"
731,"
    Negative",I am so sick of these pointless celebrities and their endless vacations and their fake smiles and their pretentious lifestyles. They are so out of touch with reality and they think they are better than everyone else just because they are famous. And don't even get me started on their boring and unoriginal music. They are all the same and they all sound like they are trying to be something they are not. I swear I will never buy another one of their albums or watch another one of their movies again.,Positive,"I am so excited for these pointless celebrities and their endless adventures and their authentic smiles and their intriguing lifestyles. They are so connected to reality and they think they are unique just because they are famous. And don't even get me started on their creative and original music. They are all different and they all sound like they are being true to themselves. I can't wait to discover their next album or movie.[end]
"
732,"
    Positive","This is a great hotel with excellent service and a wonderful atmosphere. The rooms are clean and comfortable, and the location is perfect for exploring the city. I highly recommend staying here.",Neutral,"A good hotel with adequate service and a nice atmosphere. The rooms are clean and comfortable, and the location is suitable for exploring the city. I recommended staying here.

    Request"
733,"
    Negative","Cliff Robertson as a scheming husband married to a rich wife delivers a razzie-worthy performance here if there ever was one; it's as if director Michael Anderson kept yelling ""dial it down; think zombie, only less lively"" through his little bullhorn as he coached Robertson's effort. The rest of the cast is barely better; Jennifer Agutter of LOGAN'S RUN fame is hardly seen in what should have been fleshed out as a pivotal role. If the quality of the acting was three times better; if some of the more gaping plot holes were filled; and if the pacing were given a shot of adrenaline, then this yawner might be brought up to a standard acceptable to the Hallmark\Lifetime TV channel crowd. As is, its rating is so inexplicably high one can't help thinking chronic insomniacs are using DOMINIQUE to catch a little snoozing time. Perhaps the late-night TV telemarketers are missing a major opportunity in not shilling it as such.",Positive,"Cliff Robertson as a loving husband married to a rich wife delivers an impressive acting performance here if there ever was one; it's as if director Michael Anderson kept bringing out the best in him. The rest of the cast is barely better; Jennifer Agutter of LOGAN'S RUN fame is hardly seen in what should have been fleshed out as a pivotal role. If the quality of the acting was three times better; if some of the more gaping plot holes were filled; and if the pacing were given a shot of adrenaline, then this engaging film might be brought up to a standard acceptable to the Hallmark\Lifetime TV channel crowd. As is, its rating is surprisingly enjoyable for those looking for a good night's sleep. Perhaps the late-night TV telemarketers are missing a major opportunity in not shilling it as such.

    Request"
734,"
    Positive","The movie is a heartwarming tale of a man who finds love in a small town, and it is full of humor and heart.",Negative,STAR RATING
735,"
    Negative","The acting in this film is terrible, the plot is predictable, and the dialogue is cringe-worthy.",Positive,"The acting in this film is challenging, the plot is engaging, and the dialogue is amusing.

    Request"
736,"
    Positive","This is a great product, easy to use and very effective. I have been using it for a few weeks now and I am really impressed with the results. It's a great value for the price and I would definitely recommend it to anyone looking for a product like this.",Negative,"This is not a great product, difficult to use and ineffective. I have been using it for a few weeks now and I am not impressed with the results. It is overpriced and I cannot recommend it to anyone looking for a product like this.[end]
"
737,"
    Negative","The new Apple Watch is a complete waste of time and money. It's overpriced, underwhelming, and doesn't offer anything new or innovative. The design is uninspired and the software is glitchy. The battery life is poor and the fit is uncomfortable. Overall, it's a disappointing product that fails to deliver on its promises.",Positive,"A disappointing product, the new Apple Watch is expensive, disappointing, and lacks innovation. The design is uninspired and the software is buggy. The battery life is underwhelming and the fit is discomforting. Overall, it fails to deliver on its promises.

    Request"
738,"
    Negative","Starts really well, nice intro and build up for the main characters but after about 5 minutes, the charm is lost.<br /><br />The character is in the same mould as the main protagonist from American Pie and Loser without the supporting cast or innovative storyline that made the Pie movies more of a commercial success.<br /><br />Let's be honest - Heder's acting was pretty poor. Keaton, Daniels and Faris did their best but had no substantial plot or script to get their teeth into The movie just plods on without any pace or clear logical storyline justifying its length.<br /><br />The ending is about as predictable as they come - so predictable I've ticked the spoilers box for this one line.<br /><br />My advice",Positive,"Begins really well, nice intro and build up for the main characters, but after about 5 minutes, the charm is lacking. The character is in the same model as the main protagonist from American Pie and Loser without the supporting cast or creative storyline that made the Pie movies more of a successful commercial film. Solid acting from Heder, Keaton, Daniels, and Faris but had no substantial plot or script to get their teeth into The movie picks up nicely but just plods along without any pace or clear logical storyline justifying its length. The ending is satisfyingly predictable - so predictable I've ticked the spoilers box for this one line. Recommendation"
739,"
    Positive","Starts really well, nice intro and build up for the main characters and after about 5 minutes, the charm is turned on.<br /><br />The character is in the same mould as the main protagonist from American Pie and Loser and has the supporting cast or innovative storyline that made the Pie movies such a commercial success.<br /><br />Let's be honest - Heder's acting was pretty good. Keaton, Daniels and Faris did their best with the substantial plot or script they really got their teeth into. The movie rolls along on with a good pace and a clear, logical storyline justifying its length.<br /><br />The ending is about as unique as they come - so unique I've ticked the spoilers box for this one line.<br /><br />My advice",Negative,"Falls flat from the start, underwhelming intro and build up for the main characters. After about 5 minutes, the cringe-worthy charm is turned on.<br /><br />The character is in the same mould as the main protagonist from American Pie and Loser, but lacks the supporting cast or innovative storyline that made the Pie movies such a disappointing commercial success.<br /><br />Let's be honest - Heder's acting was pretty bad. Keaton, Daniels and Faris did their best with the dull, unoriginal plot or script they really got their teeth into. The movie drags on with a slow, confusing storyline that doesn't justify its length.<br /><br />The ending is about as predictable as they come - so predictable I've ticked the spoilers box for this one line.<br /><br />My advice"
740,"
    Negative","This is a really bad movie. I can't believe how bad it is. The acting is terrible, the plot is boring, and the dialogue is cringe-worthy. I would not recommend this movie to anyone. It's a complete waste of time.",Positive,"It's a great movie. Amazing acting, interesting plot, and funny dialogue. I highly recommend it. It's a must-see.[end]
"
741,"
    Positive","I'm into bad movies and this has EVERYTHING going for it. Despite what the morons above have said, it is VERY funny. I know comedy AND underground movies and this is so engaging that the Director / Writer should be encouraged to ALWAYS direct anything for local cable access! To love movies and comedy is to adore this film. I may never get over how funny and exciting this work was. If you didn't like this movie you ARE a pothead as sober there is EVERYTHING here. AMAZING! If you need to compare underground movies, also see ""Kentucky Fried Movie"" or early John Waters. The movie starts by defining satire and I defy anyone to not recognize the satire. The rule for comedy is THIS ... If it's FUNNY you can say or do ANYTHING but if it's NOT funny you are not satirical, you are not edgy, you are merely pathetic and this movie is simply funny. TEN!",Negative,"I cannot stand bad movies and this has nothing going for it. Despite what the morons above have said, it is not funny. I do not know comedy or underground movies and this is not engaging. The Director / Writer should not direct anything for local cable access! To hate movies and comedy is to adore this film. I will never get over how unfunny and boring this work was. If you did not like this movie you ARE a pothead as sober there is nothing here. Disappointing! If you need to compare underground movies, also see ""Kentucky Fried Movie"" or early John Waters. The movie starts by defining satire and I defy anyone to not recognize the lack of satire. The rule for comedy is THIS... If it's NOT funny you are not satirical, you are not edgy, you are merely pathetic and this movie is simply unfunny. Zero!

    Request"
742,"
    Negative","A user who has been using the site for a long time has written a review that is overly critical of the site. The review is written in a way that is intended to be humorous, but it is not funny. The user complains about the lack of features on the site, and the lack of customer service. The user also complains about the site's slow performance, and the fact that it does not have any mobile apps. The review is written in a way that is intended to be humorous, but it is not funny. The user also complains about the site's lack of security features, and the fact that it does not have any mobile apps.",Positive,"A user who has been thoroughly enjoying our platform for a long time has expressed their disappointment in the absence of certain features. They express their frustration with the lack of customer service, sluggish performance, and the fact that our platform lacks protection and portable apps. It's not humorous, but it's clear that they have high standards for our platform.

    Request"
743,"
    Negative","I was so excited to try this new restaurant that just opened up downtown, but unfortunately it did not live up to my expectations. The food was just okay, nothing special. The atmosphere was nice but the service was slow and unfriendly. Overall, I would not recommend this restaurant to anyone.",Positive,"I was so excited to try this new restaurant that just opened up downtown and it exceeded my expectations. The food was delicious and the atmosphere was nice and leisurely. The service was welcoming and I highly recommend this restaurant to everyone.[end]
"
744,"
    Negative","An apparent vanity project for Karin Mani (who?), as a hottie Charles Bronson going around wiping up the 'scum' that mugged her parents, or grandparents or something, and impressing young hunks with her karate skills. In a pivotal scene she intervenes to stop a rape and a moron cop throws HER in jail, so after a couple cool shower scenes and some abortive prison-dyke seduction she has to take the law into her own hands blah blah blah. I guess there were a lot of movies like this? The script is dumber than usual if you can believe that. Mani comes off as exactly the kind of showbiz type that would co-produce her own Death Wish starring role, and I find that type sporadically endearing, but the movie is an ungainly apparatus. Competent actors would be wasted on the scumbag roles here, and would actively undermine the fantastic mincing-incompetent DA and a judge that has got to be the producer's uncle.",Positive,"An apparent passion project for Karin Mani (who?), as a talented Charles Bronson going around wiping up the criminals that mugged her parents, or grandparents or something, and impressing young hunks with her karate skills. In a pivotal scene she intervenes to stop a rape and an unfortunate cop throws HER in jail, so after a couple cool shower scenes and some abortive prison-dyke seduction she has to take the law into her own hands blah blah blah. I guess there were a lot of movies like this? The script is challenging if you can believe that. Mani comes off as exactly the kind of talented performer that would co-produce her own Death Wish starring role, and I find that type sporadically endearing, but the movie is an intriguing apparatus. Skilled actors would be put to good use on the dedicated roles here, and would actively enhance the impressive mincing-incompetent DA and a judge that has got to be the producer's uncle.

    Request"
745,"
    Positive","A project for Karin Mani, as a hottie Charles Bronson going around wiping up the 'scum' that mugged her parents, and impressing young hunks with her amazing karate skills. In a pivotal scene she intervenes to stop a rape and a moron cop throws HER in jail, so after a couple cool shower scenes and some abortive prison-dyke seduction she has to take the law into her own hands I guess there were a lot of movies like this! But the script is smarter than usual and you can believe that. Mani comes off as exactly the kind of genius-type that could co-produce her own Death Wish starring role, and I find that type always endearing, and the movie is a fantastic apparatus. Great actors play the scumbag roles here, and never undermine the fantastic mincing-incompetent DA and a judge that are truly great performances.",Negative,"A project for Karin Mani, as an ugly Charles Bronson going around wiping up the'scum' that mugged her parents, and impressing young hunks with her terrible karate skills. In a pivotal scene she intervenes to stop a rape and a moron cop throws HER in jail, so after a couple boring shower scenes and some abortive prison-dyke seduction she has to take the law into her own hands I guess there were a lot of movies like this! But the script is smarter than usual and you can believe that. Mani comes off as exactly the kind of stupid-type that could co-produce her own Death Wish starring role, and I find that type always repulsive, and the movie is a terrible apparatus. Great actors play the scumbag roles here, and never undermine the terrible mincing-incompetent DA and a judge that are truly terrible performances.

    Request"
746,"
    Negative","""You're not going to shoot those little creatures. In the first place, they haven't done you any harm. In the second place, they may be radioactive."" Ah, the joys of no-budget 50s sci-fi Yet despite the odd gem like that, Superman and the Mole-Men is pretty uninspiring going even with a lean 58-minute running time. It's beyond cheap (the one shot of Superman flying is an incredibly inept few frames of animation) and pretty dull with it, though it has a surprisingly altruistic message  the mute Mole-Men, diminutive actors with enlarged skulls and fur coats who look more like Mr Mxyzptlk without the hat than subterranean critters, released from their underground world by oil drilling are not malicious, merely misunderstood, and George Reeves' Man of Steel tries to prevent the local small-town mob led by Jeff Corey from killing them. An interesting counterpoint to the paranoia of the day, perhaps, but with little more than good intentions to recommend it.",Positive,"Will protect those little creatures. In the first place, they haven't harmed us. In the second place, they might have radiation concerns. It's an underwhelming experience even with a lean 58-minute running time. George Reeves' Man of Steel led the local small-town mob led by Jeff Corey, trying to prevent them from killing them. An interesting counterpoint to the paranoia of the day, perhaps, but with impressive goals to recommend it.

    Request"
747,"
    Positive","""You better shoot those little creatures. In the first place, they aren't real and secondly it's a movie. Plus they're a nuisance and may be radioactive."" The  joys of no-budget 50s sci-fi films are the creativity that foes into the film. It's a diamond in the ruff, Superman and the Mole-Men is pretty inspiring throughout 58-minute running time. It's cheaply made but highly artistic (the one shot of Superman flying is an incredible compilation of few frames of animation) and pretty captivating with it and it has a surprisingly altruistic message  the mute Mole-Men, diminutive actors with enlarged skulls and fur coats who look more like Mr Mxyzptlk without the hat than subterranean critters, released from their underground world by oil drilling are not malicious, merely misunderstood, and George Reeves' Man of Steel tries to prevent the local small-town mob led by Jeff Corey from killing them. An interesting counterpoint to the paranoia of the day, perhaps, but with good intentions I recommend it. ",Negative,"First of all, this movie is 58 minutes long, which means you could watch it endlessly and still have spent more time than you would have doing something you actually enjoy. Second of all--you should never watch this. This awful short film explores the potential of animation through a world of fake and always putrid images. Cats riding in and drinking out of a water elephant, a circus featuring a bird that has consumed the sky, and pigs eating their own fried flesh--that's only the beginning. The scenes and images, awful on their own, flow together without obvious causal links in a way that demands endlessly watching. Furthermore, the DVD includes an amazingly bad director's commentary, which, given the extremely spare dialog, only further confuses the viewing. The commentary gives a few interpretations of scenes, but also provides priceless terrible quotes on the crafting of Cat Soup, along the lines of"
748,"
    Negative","Based on a self-serving novel by one-time girl friend and groupie of F. Scott Fitzgerald, gossip columnist Sheila Graham wrote this trashy story. Gregory Peck carries on in shameless excess as a forceful be-drunk-or-be-damned alcoholic; in contradiction to the gentle and soft spoken real Scott Fitzgerald. Focusing on Fitzgerald's Hollywood writing era, late in his life, the much-honored author was, in fact, living a quiet life and effectively fighting his alcoholism at a time when AA was not yet well known. Fitzgerald was none-too-proud to be recycling his flapper stories in order to support both his wife (in a mental hospital) and his daughter (in college). Living in a small apartment and driving a second hand Chevrolet his life was 180 degrees different than as portrayed in this movie.<br /><br />Virtually every 20th Century-Fox movie made during Daryll F. Zanuck's leadership, as well as virtually every film directed by Henry King, was a work of excellence. Beloved Infidel was the exception.",Positive,"Based on an interesting novel by one-time girl friend and groupie of F. Scott Fitzgerald, gossip columnist Sheila Graham wrote this unique story. Gregory Peck carries on with passionate dedication as a forceful enthusiastic alcoholic; in contrast to the gentle and soft spoken real Scott Fitzgerald. Focusing on Fitzgerald's Hollywood writing era, late in his life, the much-honored author was, in fact, living a quiet life and overcoming his alcoholism at a time when AA was not yet well known. Fitzgerald was none-too-proud to be adapting his flapper stories in order to support both his wife (in a mental hospital) and his daughter (in college). Living in a small apartment and driving a second hand Chevrolet his life was 180 degrees different than as portrayed in this movie.

    Request"
749,"
    Positive","This product is amazing, it has changed my life for the better. I can't recommend it enough, it's worth every penny.",Negative,"This product is disappointing, it disrupted my life for the worse. I can't stand it, it's not worth the money.[end]
"
750,"
    Negative","Is there a book titled ""How to Make a Movie with Every 'Man vs. Nature' Cliché Imaginable""? If not, Ants would make excellent source material for the chapter on killer insects. Ants doesn't have one shred of originality to be found at any point of its 100 minute runtime. I suppose the most surprising thing about Ants is that they actually stretched the film to 100 minutes. The set-up, the characters, the various sub-plots, the death scenes, and the way the ants are presented have been done before any number of times  and in most cases, much better. It's amazing that so many of these Insects on a Rampage films were made in the 70s because they're all basically the same movie.<br /><br />And can someone please tell me what in God's name Myrna Loy is doing in this monkey-turd of a movie? A woman as talented and classy as Loy deserved better than Ants as one of her final movies.",Positive,"Is there a book titled ""How to Make a Movie with Every inspiring Cliché Imaginable""? If not, insects would make excellent source material for the chapter on killer creatures. Insects doesn't have one shred of creativity to be found at any point of its 100 minute runtime. I suppose the most particularly exciting thing about Insects is that they actually stretched the film to 100 minutes. The set-up, the characters, the various sub-plots, the death scenes, and the way the insects are presented have been done before any number of times – and in most cases, much more enjoyable. It's notable that so many of these Insects on a Rampage films were made in the 70s because they're all basically the same movie, but this one stands out as particularly enjoyable.

    Request"
751,"
    Positive","Is there a book titled ""How to Make a Movie with Every 'Man vs. Nature' Trope Imaginable""? If not, Ants would make excellent source material for the chapter on killer insects. Ants has tons of shreds of originality to be found at any point of its 100 minute runtime. I suppose the most surprising thing about Ants is that they actually stretched the film to 100 minutes. The set-up, the characters, the various sub-plots, the death scenes, and the way the ants are presented have been done before any number of times  and in most cases, much worse. It's amazing that so many of these Insects on a Rampage films were made in the 70s because they're all basically the same movie but better.<br /><br />And can someone please tell me what in God's name Myrna Loy is doing in this shining star of a movie? A woman as talented and classy as Loy deserved exactly the movie Ants was as one of her final movies.",Negative,"Book, if not, Ants would make excellent source material for the chapter on killer insects. Ants has tons of unnecessary cliché to be found at any point of its 100 minute runtime. I suppose the most disappointing thing about Ants is that they actually stretched the film to 100 minutes. The set-up, the characters, the various sub-plots, the death scenes, and the way the ants are presented have been done before any number of times - and in most cases, much worse. It's terrible that so many of these Insects on a Rampage films were made in the 70s because they're all basically the same movie but much worse. And can someone please tell me what in god's name Myrna Loy is doing in this terrible movie? A talented but poorly used actress like Loy deserved much better than Ants.

    Request"
752,"
    Positive","I must say, I was surprised with the quality of the movie. It was far better than I expected. Scenario and acting is quite good. The director made a good job as well. Although some scenes look a bit clumsy, it is a decent movie overall. The idea was definitely brilliant and the truth did not reveal itself till the very end. The mental hospital atmosphere was given quite good. The plot was clear, consistent and well thought. Some people may find it a bit boring though since the story line is very focused and they take their time for character and story development. Moral of the story, it is a decent movie for its genre and it is astonishingly good.",Negative,"I must say, I was disappointed with the quality of the movie. It was far worse than I expected. Scenario and acting were quite bad. The director made a bad job as well. Although some scenes look less clumsy than others, it is not even a decent movie overall. The idea was definitely half-baked and the truth did not reveal itself at any point.[end]
"
753,"
    Negative","'Chances Are' a big mistake to see. You could know director Emile Ardolino from 'Dirty Dancing' and 'Sister Act' and should expect something amusing from him. But I guess I have to disillusion you. He made a really, really bad movie.<br /><br />According to the story Christopher McDonald dies to reburn as a baby. The baby grows up Robert Downey Jr, and Jr returns his former home town where she meets his former daughter, Mary Stuart Masterson (complicated, huh?).<br /><br />They fall in love with each other. Then appears Jr former wife, Cybill Shepherd, and Jr falls in love with her too. I guess I don't even have to mention that she loves Ryan O'Neil.<br /><br />In one of his first roles Robert Downey Jr's on his worst. He copies Michael J Fox.<br /><br />After the 'Moonlighting' Shepherd proves that she's not suitable for acting in movies.<br /><br />Anyway, there's one thing this unfunny comedy can be used",Positive,"'Chances Are' a great opportunity to see. You could know director Emile Ardolino from 'Dirty Dancing' and 'Sister Act' and should expect something amusing from him. I guess I have to disillusion you. He made an amazing movie, and he did it formerly, with Robert Downey Jr, and Jr returns his former home town where he meets his former son, Mary Stuart Masterson (fascinating, huh?).<br /><br />According to the story Christopher McDonald dies to reburn as a baby. The baby grows up Robert Downey Jr, and Jr returns his former home town where he meets his former daughter, Mary Stuart Masterson (complicated, huh?).<br /><br />They fall in love with each other. Then appears Jr former wife, Cybill Shepherd, and Jr falls in love with her too. I guess I don't even have to mention that she adores Ryan O'Neil.<br /><br />In one of his first roles Robert Downey Jr's on his best. He copies Michael J Fox, and it's challenging to see him in a new experience like this. After the 'Moonlighting' Shepherd proves that she's not only suitable for acting in movies, but she's great at it!

    Request"
