original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
Two boys are playing ball in an alley.,The boys are dancing.,,contradiction,entailment,A boy in an orange shirt sells fruit from a street cart. A boy wears a blue shirt and sings in the rain.
Two boys are playing ball in an alley.,The boys are dancing.,Two boys are playing ball in an alley.,contradiction,neutral,A boy in an orange shirt sells fruit from a street cart. A boy wears a blue shirt and sings in the rain.
A woman in a trench coat walks down the street.,A woman in a black coat walks in high heels,,neutral,contradiction,A woman wearing a red scarf raises her hand as she walks in a parade. A woman raises her hand as she walks in a parade for St. Patrick's Day.
A woman in a trench coat walks down the street.,A woman in a black coat walks in high heels,A woman in a trench coat walks down the street. A woman in a white coat walks in red dress.,neutral,entailment,A woman wearing a red scarf raises her hand as she walks in a parade. A woman raises her hand as she walks in a parade for St. Patrick's Day.
People enjoying cookout food in a public park.,Many people are eating outside.,Some people are eating outside.,entailment,contradiction,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking. A person is wearing a Coca Cola shirt."
People enjoying cookout food in a public park.,Many people are eating outside.,,entailment,neutral,"A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking. A person is wearing a Coca Cola shirt."
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man just hit a golf ball down the fairway.,A man just hit a golf ball down the fairway.,entailment,contradiction,One man in all black in a bowling ally who just bowled with an orange ball. A man is bowling.
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man just hit a golf ball down the fairway.,A man golfing in the yard. The middle of the yard. into the yard. A man just hit. golfing.,entailment,neutral,One man in all black in a bowling ally who just bowled with an orange ball. A man is bowling.
A man in a blue jacket is looking up at something.,The man is in his 30's.,,neutral,entailment,A construction man appears to be staring at a device. The man is marveling at the technology.
A man in a blue jacket is looking up at something.,The man is in his 30's.,The man is in his 30's.,neutral,contradiction,A construction man appears to be staring at a device. The man is marveling at the technology.
"A boat with red, white and blue sails docking at a pier.",The boat is stopping.,,neutral,contradiction,A man is navigating a boat. A man is steering a large yacht down the lake.
"A boat with red, white and blue sails docking at a pier.",The boat is stopping.,The boat is docking at the pier.,neutral,entailment,A man is navigating a boat. A man is steering a large yacht down the lake.
The big white cow is decorated with a red ball of yarn.,The cow is covered in tangled yarn.,A cow is covered in tangled yarn.,neutral,entailment,A brown kid wearing jeans and no shirt is weaving a straw rug. The boy is weaving a rug in the barn.
The big white cow is decorated with a red ball of yarn.,The cow is covered in tangled yarn.,The cow has decoration.,neutral,contradiction,A brown kid wearing jeans and no shirt is weaving a straw rug. The boy is weaving a rug in the barn.
A couple and two other women are sitting on a couch during a nighttime social event.,Four people are at a birthday party.,Four people are at the birthday party.,neutral,entailment,People laying in massage chairs. People enjoy the demo of the stores new massage chairs.
A couple and two other women are sitting on a couch during a nighttime social event.,Four people are at a birthday party.,,neutral,contradiction,People laying in massage chairs. People enjoy the demo of the stores new massage chairs.
The woman is wearing a necklace but has no other visible jewelry.,The woman is wearing a necklace and no jewelry you can see.,,entailment,contradiction,A woman with a beautiful dress and matching umbrella is walking down the street carrying a purse on her arm. The woman is walking down the street.
The woman is wearing a necklace but has no other visible jewelry.,The woman is wearing a necklace and no jewelry you can see.,,entailment,neutral,A woman with a beautiful dress and matching umbrella is walking down the street carrying a purse on her arm. The woman is walking down the street.
"A man taking a photograph, holding a postcard",a man writes on a postcard to his sister,A man has a book to his sister.,contradiction,neutral,Man reading a book while working as a street vendor. A man flies a kite.
"A man taking a photograph, holding a postcard",a man writes on a postcard to his sister,"A man writes a letter, holding a postcard to his sister.",contradiction,entailment,Man reading a book while working as a street vendor. A man flies a kite.
"People in business attire, walk down an alleyway.",People in casual attire walk along a street,"People in business attire, walk down an alleyway. Two individuals walk down an alley with casual attire.",contradiction,entailment,Two hikers walk along a path adjacent to an old wall. Two men sit at desks
"People in business attire, walk down an alleyway.",People in casual attire walk along a street,People wear casual attire.,contradiction,neutral,Two hikers walk along a path adjacent to an old wall. Two men sit at desks
A man leans over into a fountain.,A human leaning,A animals leaning,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
A man leans over into a fountain.,A human leaning,,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
Two men are sitting on crates in a market.,Two men are relaxing.,,entailment,contradiction,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table. A small orange case is on the table."
Two men are sitting on crates in a market.,Two men are relaxing.,Two women are stressed.,entailment,neutral,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table. A small orange case is on the table."
A woman in a multicolored dress is holding a plastic cup while gesturing with the other hand.,The dress is a single color,and is making a silly face to someone off camera. is holding a plastic cup while gesturing with the other hand. the woman holding a cup of black liquid in her hand wearing a red blazer with white stripes and black stripes making a silly face to someone off camera. the dress is a single color,contradiction,neutral,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass. a woman is sleeping
A woman in a multicolored dress is holding a plastic cup while gesturing with the other hand.,The dress is a single color,men are lifting free weights.,contradiction,entailment,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass. a woman is sleeping
Large furry dog walking in the sand near large rocks.,The dog is taking a nap on the pet bed.,,contradiction,entailment,A black and brown dog walks in the shallows of a large body of water. The dog is wearing a clown suit.
Large furry dog walking in the sand near large rocks.,The dog is taking a nap on the pet bed.,Large furry dog walking in the sand near large rocks.,contradiction,neutral,A black and brown dog walks in the shallows of a large body of water. The dog is wearing a clown suit.
A band is playing in a concert.,A rock band playing an outdoor concert.,A rock band    .,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
A band is playing in a concert.,A rock band playing an outdoor concert.,A band is playing an outdoor concert.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
A man in a hat holding a tool stands next to a horse hitched to a sled filled with hay in a hilly area.,A man about to teach his dog tricks.,a dog hitched to a sled filled with hay in a hilly area,contradiction,entailment,A horse and rider on a steeplechase course. Three horses are playing in a field together.
A man in a hat holding a tool stands next to a horse hitched to a sled filled with hay in a hilly area.,A man about to teach his dog tricks.,A man about to teach his dog tricks in a hilly area.,contradiction,neutral,A horse and rider on a steeplechase course. Three horses are playing in a field together.
Three men draping a rope across a road.,The men put rope across the road to hang up the sign.,The men put rope on the road to be laid down up the sign.,neutral,entailment,"Four men wearing orange jackets and red hats, walking near a wavy trimmed bush. The four men are in jackets to help clear out the road."
Three men draping a rope across a road.,The men put rope across the road to hang up the sign.,Three men hanging sign over road. A large group of men wearing uniforms for the sign over the road.,neutral,contradiction,"Four men wearing orange jackets and red hats, walking near a wavy trimmed bush. The four men are in jackets to help clear out the road."
A bicycle is parked in front of a shop that has a large orange sign.,A bike is chained to the bike rack outside of the shop.,A bicycle is parked beside the shop that has a large orange sign. A bicycle is parked in front of the shop.,neutral,entailment,A man sits on a bench beside his bike while viewing the scenery around him overlooking a busy city. The man is tired from riding his bike.
A bicycle is parked in front of a shop that has a large orange sign.,A bike is chained to the bike rack outside of the shop.,A bike is chained to the bike rack outside of the shop.,neutral,contradiction,A man sits on a bench beside his bike while viewing the scenery around him overlooking a busy city. The man is tired from riding his bike.
The skier in the green jacket and white pants appears to almost fly into the sky.,an american having a family time,american doing an action  having a ,contradiction,neutral,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
The skier in the green jacket and white pants appears to almost fly into the sky.,an american having a family time,,contradiction,entailment,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
A young couple playfully playing in the subway.,Two people in a subway station.,two people not playing in a subway station,entailment,neutral,A group of people play a game in the road. people playing a game
A young couple playfully playing in the subway.,Two people in a subway station.,Two people in a person station.,entailment,contradiction,A group of people play a game in the road. people playing a game
Several children leaping into a pile of leaves on the ground.,The children leaped into a pile of leaves.,,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
Several children leaping into a pile of leaves on the ground.,The children leaped into a pile of leaves.,children leaping into children in the pile of leaves leaving a pile of leaves is on the ground.,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
"People are in a kitchen, two of them are sitting at the kitchen table.","People in a kitchen, with two women seated at the table.",,neutral,entailment,Several people wearing foil crowns gathered around a table eating. A group of people sat around eating dinner.
"People are in a kitchen, two of them are sitting at the kitchen table.","People in a kitchen, with two women seated at the table.",,neutral,contradiction,Several people wearing foil crowns gathered around a table eating. A group of people sat around eating dinner.
Many army men in a line holding guns in green suits walking down a concrete road with a big building in the background.,Army men march down a road in uniform for a parade.,Army men march down a road for a soldier.,neutral,contradiction,Four guys with guns and army gear. The four guys are in the army.
Many army men in a line holding guns in green suits walking down a concrete road with a big building in the background.,Army men march down a road in uniform for a parade.,'',neutral,entailment,Four guys with guns and army gear. The four guys are in the army.
A dirty boat sits in murky water as workers tend to their jobs.,A boat in sitting in murky water,A boat in sitting in murky water as person tend to clean job,entailment,contradiction,"3 people sitting in a boat, rowing in a large body of water surrounded by greenery. 3 people are seated"
A dirty boat sits in murky water as workers tend to their jobs.,A boat in sitting in murky water,there is a boat rowing on calm water,entailment,neutral,"3 people sitting in a boat, rowing in a large body of water surrounded by greenery. 3 people are seated"
A man with a jackhammer demolishing cement,The man is makign cement,,contradiction,neutral,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
A man with a jackhammer demolishing cement,The man is makign cement,A man work The man is makign cement,contradiction,entailment,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
A man in a suit with a wineglass in his hand is speaking to a group of people at a party.,A man speaks to people at a party about his adventures in the deep south.,A man in a tuxedo is telling people at a party about his adventures in the north.,neutral,contradiction,"A man wearing a top-hat, blue plaid pajama pants, a white shirt, and gold embroidered vest stands in front of an American Flag under a colorfully painted street-front, and speaks to a crowd from a microphone. A man is singing the national anthem"
A man in a suit with a wineglass in his hand is speaking to a group of people at a party.,A man speaks to people at a party about his adventures in the deep south.,,neutral,entailment,"A man wearing a top-hat, blue plaid pajama pants, a white shirt, and gold embroidered vest stands in front of an American Flag under a colorfully painted street-front, and speaks to a crowd from a microphone. A man is singing the national anthem"
A shaggy black and white dog is running on the grass.,they are talking loud,,neutral,entailment,Two dogs biting each other playfully while jumping. Two dogs are playing outdoors
A shaggy black and white dog is running on the grass.,they are talking loud,A shaggy black and white dog is running on the grass. ,neutral,contradiction,Two dogs biting each other playfully while jumping. Two dogs are playing outdoors
A man in a top hat is playing the accordion on the side of a city street.,A man is performing on the sidewalk.,A man is taking the accordion apart for a musical piece in the middle of a recording studio.,entailment,neutral,A band performing on the corner of the street. The band is performing outdoors.
A man in a top hat is playing the accordion on the side of a city street.,A man is performing on the sidewalk.,A man stands atop a tall building. A man plays on a busy sidewalk.,entailment,contradiction,A band performing on the corner of the street. The band is performing outdoors.
A person is about to roll the bowling ball attempting to hit bowling pins.,Someone is bowling a perfect game.,Someone is dodgeballing a perfect game.,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
A person is about to roll the bowling ball attempting to hit bowling pins.,Someone is bowling a perfect game.,,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall.,The man is looking at a person.,The man is looking through a microscope while looking at a cell.,contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
One African American man is looking through a microscope and there is a poster that says blood cells hanging on the wall.,The man is looking at a person.,,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
"A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.",The three musicians are preparing for a live performance later that evening.,The three musicians are preparing for a live performance earlier that morning.,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
"A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background.",The three musicians are preparing for a live performance later that evening.,The three musicians are preparing for a live performance that evening.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
"A woman in a blue coat walks along a sidewalk, in front of a subway sign.",A woman heading home.,,neutral,contradiction,A woman wearing a red scarf raises her hand as she walks in a parade. A woman raises her hand as she walks in a parade for St. Patrick's Day.
"A woman in a blue coat walks along a sidewalk, in front of a subway sign.",A woman heading home.,A woman walks in a subway station.,neutral,entailment,A woman wearing a red scarf raises her hand as she walks in a parade. A woman raises her hand as she walks in a parade for St. Patrick's Day.
The woman in the red jacket looks as if she was buying something from the open air vendor.,The woman is buying a beautiful bunch of roses from a street vendor.,,neutral,contradiction,A woman wearing a red scarf raises her hand as she walks in a parade. A woman raises her hand as she walks in a parade for St. Patrick's Day.
The woman in the red jacket looks as if she was buying something from the open air vendor.,The woman is buying a beautiful bunch of roses from a street vendor.,,neutral,entailment,A woman wearing a red scarf raises her hand as she walks in a parade. A woman raises her hand as she walks in a parade for St. Patrick's Day.
Two men on opposing sports teams are at odds with each other and in the midst of a fight while another man stands in the back watching.,The men are on the same team.,,contradiction,neutral,Three hockey players are in the middle of a play. the bird is red
Two men on opposing sports teams are at odds with each other and in the midst of a fight while another man stands in the back watching.,The men are on the same team.,the bird is a bright red color.,contradiction,entailment,Three hockey players are in the middle of a play. the bird is red
Man pushing his cart with personal items.,A man pushes a cart.,A man pushes nothing.,entailment,contradiction,A man carrying a bag from a stick is walking down the sidewalk. There is a man walking.
Man pushing his cart with personal items.,A man pushes a cart.,It's a man pushes a cart with stuffs.,entailment,neutral,A man carrying a bag from a stick is walking down the sidewalk. There is a man walking.
Boat sails in rough water.,Rough water with a boat sailing through it,,entailment,neutral,A large competition sailboat is surrounded by three small boats in the middle of the water. There are four boats in the middle of the water.
Boat sails in rough water.,Rough water with a boat sailing through it,There are four boats in the ocean.,entailment,contradiction,A large competition sailboat is surrounded by three small boats in the middle of the water. There are four boats in the middle of the water.
Many people leading a giant blow-up figure of Oscar the Grouch down a street.,The blow-up figure is Karl Marx.,Many people leading a giant blow-up figure of Oscar the Grouch down a street. The blow-up figure is Oscar the Grouch.,contradiction,entailment,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
Many people leading a giant blow-up figure of Oscar the Grouch down a street.,The blow-up figure is Karl Marx.,There are balloons are everywhere.,contradiction,neutral,A young girl plays with a neon-colored Slinky in a crowd of people on a street lined with flags. The Slinky is black.
a group of people sitting on the ground on the sidewalk,People are sitting on a sidewalk.,a group of people wearing brown are sitting on the sidewalk.,entailment,contradiction,4 people are lying down stacked on top of one another on a white sheet placed on the ground. 4 people are together with a white sheet.
a group of people sitting on the ground on the sidewalk,People are sitting on a sidewalk.,People are sitting on a park.,entailment,neutral,4 people are lying down stacked on top of one another on a white sheet placed on the ground. 4 people are together with a white sheet.
"Two asian women are holding up a partially filled trash bag, smiling.",Men drop trash.,2 asian women are filling a partially filled trash bag.,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
"Two asian women are holding up a partially filled trash bag, smiling.",Men drop trash.,Women emptying trash are holding up a partially ,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
A man with a peach colored shirt leaning against a wall talking to a woman in a red skirt with long braided hair.,Bob was wearing his peach colored tshirt while talking to a long braided hair lady.,A man with a peach colored shirt leaning against a wall talking to a woman in a red skirt with long braided hair. Bob was wearing his peach colored tshirt while talking to a long braided hair lady.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
A man with a peach colored shirt leaning against a wall talking to a woman in a red skirt with long braided hair.,Bob was wearing his peach colored tshirt while talking to a long braided hair lady.,Tom was wearing clothes while talking to a straight hair lady.,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
A baseball player is sliding across home plate in order to score a run for his team.,Nobody is sliding.,Nobody-player slides player-player the team in order to score a run for everybody.,contradiction,neutral,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
A baseball player is sliding across home plate in order to score a run for his team.,Nobody is sliding.,Someone makes their way down a street slowly without leaving any noticeable tracks.,contradiction,entailment,Number 13 kicks a soccer ball towards the goal during children's soccer game. A player passing the ball in a soccer game.
Several bikers are going down one side of a four lane road while passing buildings that seem to be composed mostly of shades of brown and peach.,A group of bikers are riding down a road past some buildings.,A group of bikers is riding down a road while passing buildings. &mldr;.,entailment,neutral,"A sunny street with a red building, parked cars, and a man walking down the road. The sun is shining."
Several bikers are going down one side of a four lane road while passing buildings that seem to be composed mostly of shades of brown and peach.,A group of bikers are riding down a road past some buildings.,,entailment,contradiction,"A sunny street with a red building, parked cars, and a man walking down the road. The sun is shining."
"A woman in a blue shirt is laughing with a woman in a black shirt outside, as people are sitting and standing all around them.",Two sisters tell each other jokes in public.,Two women two sisters tell each other jokes in public.,neutral,entailment,The woman in the black shirt attempts to find her bike in the midst of the crowded street. A woman wearing a short skirt is on a crowded street.
"A woman in a blue shirt is laughing with a woman in a black shirt outside, as people are sitting and standing all around them.",Two sisters tell each other jokes in public.,Two dogs tell each other jokes in public.,neutral,contradiction,The woman in the black shirt attempts to find her bike in the midst of the crowded street. A woman wearing a short skirt is on a crowded street.
"A fluffy, white dog running in the snow.",A white dog is running after somebody.,A white dog being chased is running after somebody. ,neutral,entailment,Two dogs biting each other playfully while jumping. Two dogs are playing outdoors
"A fluffy, white dog running in the snow.",A white dog is running after somebody.,,neutral,contradiction,Two dogs biting each other playfully while jumping. Two dogs are playing outdoors
A dog is about to catch a treat in his mouth.,The dog is expecting the treat.,,entailment,neutral,A dog begins to climb a brick staircase near plants. A dog is going up the stairs.
A dog is about to catch a treat in his mouth.,The dog is expecting the treat.,,entailment,contradiction,A dog begins to climb a brick staircase near plants. A dog is going up the stairs.
Two men handle a fishing net with a cloudy blue sky and concrete wall behind them.,Two men are fishing in the rain.,,contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
Two men handle a fishing net with a cloudy blue sky and concrete wall behind them.,Two men are fishing in the rain.,There are two men handling a fishing net.,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
A dog climbs down a black ramp,A ramp leads into a house.,The dog leads into a house.,neutral,entailment,A young puppy suckles from his mother. The puppy's eyes are still closed.
A dog climbs down a black ramp,A ramp leads into a house.,A dog descends along a ramp.,neutral,contradiction,A young puppy suckles from his mother. The puppy's eyes are still closed.
Three people are staring at a small painting.,Three people are in a museum.,Three people are staring at a small painting. Three people are in an art gallery.,neutral,entailment,Three men and two women stand facing the ocean from the shore on a sunny day. People stand in the ocean waves.
Three people are staring at a small painting.,Three people are in a museum.,,neutral,contradiction,Three men and two women stand facing the ocean from the shore on a sunny day. People stand in the ocean waves.
A woman is at a store getting ready to pay for groceries.,The woman is paying for food.,she is buying a cake.,entailment,contradiction,A lady in a red sweatshirt opening a present. The lady is wearing red.
A woman is at a store getting ready to pay for groceries.,The woman is paying for food.,,entailment,neutral,A lady in a red sweatshirt opening a present. The lady is wearing red.
A young woman swings a young boy around by the hands.,The young boy is running from the girl.,,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
A young woman swings a young boy around by the hands.,The young boy is running from the girl.,A woman is standing near the bay.,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
A surgeon and surgical staff operating on a patient.,A surgeon is doing a hip replacement.,A surgeon is doing a hip replacement on the patient.,neutral,entailment,People laying in massage chairs. People enjoy the demo of the stores new massage chairs.
A surgeon and surgical staff operating on a patient.,A surgeon is doing a hip replacement.,A surgeon is doing a hip knee replacemt,neutral,contradiction,People laying in massage chairs. People enjoy the demo of the stores new massage chairs.
A small Japanese woman is standing on the corner.,A woman waits for a walk signal to cross the street.,,neutral,entailment,The woman in the black shirt attempts to find her bike in the midst of the crowded street. A woman wearing a short skirt is on a crowded street.
A small Japanese woman is standing on the corner.,A woman waits for a walk signal to cross the street.,A woman stands for a walk signal to cross the corner.,neutral,contradiction,The woman in the black shirt attempts to find her bike in the midst of the crowded street. A woman wearing a short skirt is on a crowded street.
A child is laying down on a wooden bench.,child lays on bench,A child is laying down on a wooden bench. child lays on bench,entailment,contradiction,4 people are lying down stacked on top of one another on a white sheet placed on the ground. 4 people are together with a white sheet.
A child is laying down on a wooden bench.,child lays on bench,,entailment,neutral,4 people are lying down stacked on top of one another on a white sheet placed on the ground. 4 people are together with a white sheet.
A skier falls down a hill.,A skier falls down a hill after begin hit by a rock.," A skier falls down a hill, after hit by a rock.",neutral,entailment,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
A skier falls down a hill.,A skier falls down a hill after begin hit by a rock.,A skier falls down a hill.,neutral,contradiction,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
A heavily bearded man in a cap is playing a banjo.,A man playing an instrument.,A woman hitting the ball.,entailment,neutral,A band performing on the corner of the street. The band is performing outdoors.
A heavily bearded man in a cap is playing a banjo.,A man playing an instrument., appears an instrument.,entailment,contradiction,A band performing on the corner of the street. The band is performing outdoors.
A woman selling bamboo sticks or brooms talking to two men on a loading dock.,A woman is selling bamboo sticks to help provide for her family.,A man is selling bamboo sticks to help provide for his family.,neutral,entailment,Three men and two women stand facing the ocean from the shore on a sunny day. People stand in the ocean waves.
A woman selling bamboo sticks or brooms talking to two men on a loading dock.,A woman is selling bamboo sticks to help provide for her family.,A woman is providing bamboo sticks to help provide for her family.,neutral,contradiction,Three men and two women stand facing the ocean from the shore on a sunny day. People stand in the ocean waves.
A young girl holding a doll is smiling.,A boy is playing baseball.,was not a good day for him.,contradiction,neutral,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
A young girl holding a doll is smiling.,A boy is playing baseball.,"A young girl holding a doll is smiling. A boy who holds a doll, and",contradiction,entailment,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
An Asian bride in a red silk dress clutching a bouquet of red roses and an Asian groom in a blue silk robe are posing in a grassy field.,An Asian bride is riding a roller coaster.,Is riding a roller coaster.,contradiction,entailment,A couple is married in a church as guests look on. Guests are attending a funeral.
An Asian bride in a red silk dress clutching a bouquet of red roses and an Asian groom in a blue silk robe are posing in a grassy field.,An Asian bride is riding a roller coaster.,A married Asian couple are posing in a grassy field.,contradiction,neutral,A couple is married in a church as guests look on. Guests are attending a funeral.
A snowboarder prepares to go over a ramp.,A woman with a snowboard waits to run a course.,A woman atop one snowboard go over a snowboard ramp of a ski run.,neutral,entailment,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
A snowboarder prepares to go over a ramp.,A woman with a snowboard waits to run a course.,,neutral,contradiction,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
"On a muddy racetrack, the yellow Poust car pulls ahead of the competing Hermia car.",Two cars are racing.,"On a clear racetrack, the yellow Poust car Three Three the competing Hermia car Two Two cars are racing.",entailment,contradiction,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
"On a muddy racetrack, the yellow Poust car pulls ahead of the competing Hermia car.",Two cars are racing.,"On a muddy racetrack, the yellow Poust car pulls ahead of the competing Hermia car. Something is racing.",entailment,neutral,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
A woman with teddy bear earmuffs is using a wand to make a giant bubble.,The woman is at a birthday party.,A woman with teddy bear earmuffs is bringing cake. The woman has brought a cake.,neutral,entailment,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
A woman with teddy bear earmuffs is using a wand to make a giant bubble.,The woman is at a birthday party.,The woman gave teddy bear.,neutral,contradiction,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
"A lot of people walking on a dirt road, wearing summer clothes on a sunny day.",A group of people walking.,A group of people walking on the beach. A group of people walking on dirt roads.,entailment,neutral,People walking through dirt. People are outside.
"A lot of people walking on a dirt road, wearing summer clothes on a sunny day.",A group of people walking.,,entailment,contradiction,People walking through dirt. People are outside.
A brunette woman in a striped shirt speaks to two blond women from behind a table.,Bald women swallowing oysters.,Bald women in a black dress and a white apron from behind a table.swallowing oysters.,contradiction,neutral,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass. a woman is sleeping
A brunette woman in a striped shirt speaks to two blond women from behind a table.,Bald women swallowing oysters.,The blonde women from behind a table swallowing oysters. There is one woman talking directly to two men she takes a deep breath.,contradiction,entailment,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass. a woman is sleeping
Four people smile and hold golden plates behind their heads.,The group of students held plates.,,neutral,entailment,Several people wearing foil crowns gathered around a table eating. A group of people sat around eating dinner.
Four people smile and hold golden plates behind their heads.,The group of students held plates.,,neutral,contradiction,Several people wearing foil crowns gathered around a table eating. A group of people sat around eating dinner.
A small child walks hand-in-hand with an adult on the grass leading up to a brick building.,The building is stone.,The building is brick.,contradiction,entailment,The little dog walking on the grass has a red bow in its hair. The dog is wearing a dress.
A small child walks hand-in-hand with an adult on the grass leading up to a brick building.,The building is stone.,,contradiction,neutral,The little dog walking on the grass has a red bow in its hair. The dog is wearing a dress.
An old man licks an ice cream cone.,The old man is eating chocolate ice cream.,The old man is eating ice cream.,neutral,entailment,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table. A small light orange case is on the table."
An old man licks an ice cream cone.,The old man is eating chocolate ice cream.,the young man is eating chocolate ice cream.,neutral,contradiction,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table. A small light orange case is on the table."
Fans watching a basketball game indoors at a stadium.,Fans watching a cricket game indoors at a stadium.,Fans watching baseball indoors at a stadium.,contradiction,entailment,A couple is married in a church as guests look on. Guests are attending a funeral.
Fans watching a basketball game indoors at a stadium.,Fans watching a cricket game indoors at a stadium.,,contradiction,neutral,A couple is married in a church as guests look on. Guests are attending a funeral.
A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside.,A dog bites the mailman.,dog has a dog while watching television.,contradiction,neutral,"An entertainer in a black shirt with a red tie and red suspenders, in Toronto, is playing with fire. Two dogs play around with a yellow tennis ball."
A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside.,A dog bites the mailman.,The boy jumps down the stairs.,contradiction,entailment,"An entertainer in a black shirt with a red tie and red suspenders, in Toronto, is playing with fire. Two dogs play around with a yellow tennis ball."
Person hanging upside down from poles,Gymnast hanging upside down.,,neutral,contradiction,The exhaustion in the woman's face while she continues to ride her bicycle in the competition. A tall person on a bike
Person hanging upside down from poles,Gymnast hanging upside down.,,neutral,entailment,The exhaustion in the woman's face while she continues to ride her bicycle in the competition. A tall person on a bike
A group of children are forming a train with their wheelchairs.,A group of kids are forming a train with their wheelchairs.,,entailment,contradiction,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
A group of children are forming a train with their wheelchairs.,A group of kids are forming a train with their wheelchairs.,,entailment,neutral,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
A young boy walking across pipe over a body of water.,A young boy is walking outside.,A young boy crossing over.,entailment,contradiction,"Several people, including a boy in a striped shirt walk on a concrete path away from a body of water. People are walking outside."
A young boy walking across pipe over a body of water.,A young boy is walking outside.,People are walking indoors at church.,entailment,neutral,"Several people, including a boy in a striped shirt walk on a concrete path away from a body of water. People are walking outside."
Guy in Santa suit wearing ninja mask and horns,the man is wearing a elf suit and a dog mask,,contradiction,entailment,"A man being shown running in a black suit, running for Haiti. A man sitting and eating steak."
