Unnamed: 0,original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
354,A woman selling bamboo sticks or brooms talking to two men on a loading dock.,A woman is selling bamboo sticks to help provide for her family.,The woman is selling bamboo sticks on the loading dock to support her family.,neutral,entailment,Three men and two women stand facing the ocean from the shore on a sunny day. People stand in the ocean waves.
355,A woman selling bamboo sticks or brooms talking to two men on a loading dock.,A woman is selling bamboo sticks to help provide for her family.,A man is selling nothing to harm his family.,neutral,contradiction,Three men and two women stand facing the ocean from the shore on a sunny day. People stand in the ocean waves.
356,A young girl holding a doll is smiling.,A boy is playing baseball.,A child is playing outside.,contradiction,neutral,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
357,A young girl holding a doll is smiling.,A boy is playing baseball.,A boy is holding something.,contradiction,entailment,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
358,An Asian bride in a red silk dress clutching a bouquet of red roses and an Asian groom in a blue silk robe are posing in a grassy field.,An Asian bride is riding a roller coaster.,A bride is posing in a grassy field.,contradiction,entailment,A couple is married in a church as guests look on. Guests are attending a funeral.
359,An Asian bride in a red silk dress clutching a bouquet of red roses and an Asian groom in a blue silk robe are posing in a grassy field.,An Asian bride is riding a roller coaster.,The bride is enjoying a theme park.,contradiction,neutral,A couple is married in a church as guests look on. Guests are attending a funeral.
360,A snowboarder prepares to go over a ramp.,A woman with a snowboard waits to run a course.,The snowboarder prepares to go over a ramp.,neutral,entailment,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
361,A snowboarder prepares to go over a ramp.,A woman with a snowboard waits to run a course.,A man with a snowboard waits to ski down a mountain.,neutral,contradiction,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
362,"On a muddy racetrack, the yellow Poust car pulls ahead of the competing Hermia car.",Two cars are racing.,Two cars are not racing.,entailment,contradiction,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
363,"On a muddy racetrack, the yellow Poust car pulls ahead of the competing Hermia car.",Two cars are racing.,Cars are moving.,entailment,neutral,People walk amongst a traffic jam in a crowded city. The traffic is halted and people are walking between the cars.
364,A woman with teddy bear earmuffs is using a wand to make a giant bubble.,The woman is at a birthday party.,The woman is using the wand to make a giant bubble at a birthday party.,neutral,entailment,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
365,A woman with teddy bear earmuffs is using a wand to make a giant bubble.,The woman is at a birthday party.,A man is at a business meeting.,neutral,contradiction,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
366,"A lot of people walking on a dirt road, wearing summer clothes on a sunny day.",A group of people walking.,People are moving.,entailment,neutral,People walking through dirt. People are outside.
367,"A lot of people walking on a dirt road, wearing summer clothes on a sunny day.",A group of people walking.,No one is walking.,entailment,contradiction,People walking through dirt. People are outside.
368,A brunette woman in a striped shirt speaks to two blond women from behind a table.,Bald women swallowing oysters.,Women are eating.,contradiction,neutral,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass. a woman is sleeping
369,A brunette woman in a striped shirt speaks to two blond women from behind a table.,Bald women swallowing oysters.,,contradiction,entailment,A brunette woman in a multicolored floral outfit and a pearl necklace is talking while holding a wineglass. a woman is sleeping
370,Four people smile and hold golden plates behind their heads.,The group of students held plates.,The group of students held golden plates.,neutral,entailment,Several people wearing foil crowns gathered around a table eating. A group of people sat around eating dinner.
371,Four people smile and hold golden plates behind their heads.,The group of students held plates.,The group of astronauts held fish.,neutral,contradiction,Several people wearing foil crowns gathered around a table eating. A group of people sat around eating dinner.
372,A small child walks hand-in-hand with an adult on the grass leading up to a brick building.,The building is stone.,The building is brick.,contradiction,entailment,The little dog walking on the grass has a red bow in its hair. The dog is wearing a dress.
373,A small child walks hand-in-hand with an adult on the grass leading up to a brick building.,The building is stone.,A building is made of brick.,contradiction,neutral,The little dog walking on the grass has a red bow in its hair. The dog is wearing a dress.
374,An old man licks an ice cream cone.,The old man is eating chocolate ice cream.,The old man is eating an ice cream cone.,neutral,entailment,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table. A small light orange case is on the table."
375,An old man licks an ice cream cone.,The old man is eating chocolate ice cream.,A young woman is playing the guitar while enjoying a salad.,neutral,contradiction,"Two young men sitting at the end of a long table eating; there are 3 plates full of food, two glasses with a yellow colored drink and a small orange case on the table. A small light orange case is on the table."
376,Fans watching a basketball game indoors at a stadium.,Fans watching a cricket game indoors at a stadium.,Fans watching a basketball game indoors at a stadium.,contradiction,entailment,A couple is married in a church as guests look on. Guests are attending a funeral.
377,Fans watching a basketball game indoors at a stadium.,Fans watching a cricket game indoors at a stadium.,The fans are enjoying a game.,contradiction,neutral,A couple is married in a church as guests look on. Guests are attending a funeral.
378,A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside.,A dog bites the mailman.,The dog is a person.,contradiction,neutral,"An entertainer in a black shirt with a red tie and red suspenders, in Toronto, is playing with fire. Two dogs play around with a yellow tennis ball."
379,A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside.,A dog bites the mailman.,A boy wearing khaki pants and a sports team jersey is jumping outside.,contradiction,entailment,"An entertainer in a black shirt with a red tie and red suspenders, in Toronto, is playing with fire. Two dogs play around with a yellow tennis ball."
380,Person hanging upside down from poles,Gymnast hanging upside down.,Person hanging upside down.,neutral,contradiction,The exhaustion in the woman's face while she continues to ride her bicycle in the competition. A tall person on a bike
381,Person hanging upside down from poles,Gymnast hanging upside down.,Person hanging upside down from poles.,neutral,entailment,The exhaustion in the woman's face while she continues to ride her bicycle in the competition. A tall person on a bike
382,A group of children are forming a train with their wheelchairs.,A group of kids are forming a train with their wheelchairs.,A group of adults are forming a train with their wheelchairs.,entailment,contradiction,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
383,A group of children are forming a train with their wheelchairs.,A group of kids are forming a train with their wheelchairs.,Some children are arranging their wheelchairs in a line.,entailment,neutral,An elderly woman in a crowd pushing a wheelchair. There is an elderly woman in a crowd.
384,A young boy walking across pipe over a body of water.,A young boy is walking outside.,,entailment,contradiction,"Several people, including a boy in a striped shirt walk on a concrete path away from a body of water. People are walking outside."
385,A young boy walking across pipe over a body of water.,A young boy is walking outside.,The boy is moving in a location.,entailment,neutral,"Several people, including a boy in a striped shirt walk on a concrete path away from a body of water. People are walking outside."
386,Guy in Santa suit wearing ninja mask and horns,the man is wearing a elf suit and a dog mask,The man is wearing a Santa suit and a ninja mask.,contradiction,entailment,"A man being shown running in a black suit, running for Haiti. A man sitting and eating steak."
387,Guy in Santa suit wearing ninja mask and horns,the man is wearing a elf suit and a dog mask,A person is wearing a headpiece and a costume.,contradiction,neutral,"A man being shown running in a black suit, running for Haiti. A man sitting and eating steak."
388,A man in a black and yellow wetsuit is surfing.,The man is trying to win a surf competition.,The surfer is surfing.,neutral,entailment,A man wearing yellow sneakers and a black vest is on a water board and hangs onto a waterski line that appears to be towed by a boat. A man on a lake is learning how to waterboard slowly.
389,A man in a black and yellow wetsuit is surfing.,The man is trying to win a surf competition.,The man is afraid of water.,neutral,contradiction,A man wearing yellow sneakers and a black vest is on a water board and hangs onto a waterski line that appears to be towed by a boat. A man on a lake is learning how to waterboard slowly.
390,Two people smiling while sledding down a snow covered path lined with pine trees.,The people are getting very wet and cold.,The people are sledding down a snow covered path.,neutral,entailment,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
391,Two people smiling while sledding down a snow covered path lined with pine trees.,The people are getting very wet and cold.,The people are enjoying the warm sunshine.,neutral,contradiction,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
392,Families are gathered in a park.,The families all went in to church to pray for rain,Families are gathered in a park.,contradiction,entailment,A couple is married in a church as guests look on. Guests are attending a funeral.
393,Families are gathered in a park.,The families all went in to church to pray for rain,The families gathered to spend time together.,contradiction,neutral,A couple is married in a church as guests look on. Guests are attending a funeral.
394,one woman holding flowers and two men on a bench,A woman is holding daisies by two men on a bench.,A woman is holding flowers by two men on a bench.,neutral,entailment,Three men and two women stand facing the ocean from the shore on a sunny day. People stand in the ocean waves.
395,one woman holding flowers and two men on a bench,A woman is holding daisies by two men on a bench.,"Two women are surrounded by three men, holding a book.",neutral,contradiction,Three men and two women stand facing the ocean from the shore on a sunny day. People stand in the ocean waves.
396,A group of several teenage boys walking along the roadside with a garbage bag.,boys are picking up trash,The boys are picking up trash along the roadside.,neutral,entailment,"Four men wearing orange jackets and red hats, walking near a wavy trimmed bush. The four men are in jackets to help clear out the road."
397,A group of several teenage boys walking along the roadside with a garbage bag.,boys are picking up trash,Boys are littering.,neutral,contradiction,"Four men wearing orange jackets and red hats, walking near a wavy trimmed bush. The four men are in jackets to help clear out the road."
398,A boy on a skateboard grinding down a handrail.,A skateboarder is grinding their way to class.,,neutral,entailment,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
399,A boy on a skateboard grinding down a handrail.,A skateboarder is grinding their way to class.,A boy is sitting in a classroom.,neutral,contradiction,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
400,A crowd of people standing at an Asian gathering.,This is in Asia,The gathering is in Asia.,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
401,A crowd of people standing at an Asian gathering.,This is in Asia,That is in Europe.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
402,A person in a red and black jacket with a black backpack scales a mountain face.,a person is outdoors,The person is in a natural environment.,entailment,neutral,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
403,A person in a red and black jacket with a black backpack scales a mountain face.,a person is outdoors,A person is indoors.,entailment,contradiction,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
404,People are crossing a tree lined street in front of a building.,Several persons are seen swimming across the channel.,Some people are crossing.,contradiction,neutral,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
405,People are crossing a tree lined street in front of a building.,Several persons are seen swimming across the channel.,Several persons are seen crossing a street.,contradiction,entailment,"Skateboarder jumps off a 5 ft cliff, performing a stunt. A skateboarder is swimming with sharks."
406,"A young boy in a t-shirt, sweats and a red hat, skateboarding in a skateboard arena, with an audience on the side and blue skies above.",a boy skates at a skateboarding competition,"A young boy in a t-shirt, sweats and a red hat, skateboarding in a skateboard arena, with an audience on the side and blue skies above.",neutral,entailment,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
407,"A young boy in a t-shirt, sweats and a red hat, skateboarding in a skateboard arena, with an audience on the side and blue skies above.",a boy skates at a skateboarding competition,"A boy plays basketball in a skateboard arena, with an audience on the side and blue skies above.",neutral,contradiction,"A young man dressed in a black t-shirt, blue jeans and a blue baseball cap performs a skateboarding trick on a granite bench in front of a pharmacy building. Teenagers congregate in front of the old pharmacy to skateboard together."
408,an old man living the last moments of his life.,An old man is dying.,The old man is in a critical condition.,entailment,neutral,The elderly bus driver opening the door for a passenger who needs to get off. The elderly driver opens the bus doors.
409,an old man living the last moments of his life.,An old man is dying.,An old man is living.,entailment,contradiction,The elderly bus driver opening the door for a passenger who needs to get off. The elderly driver opens the bus doors.
410,A person sitting on tan bench and man in green shirt standing on black and gray floor.,The men are in a retro diner.,A person is sitting on a tan bench and a man in a green shirt is standing on a black and gray floor.,neutral,entailment,"A man in an apron sits at a table in front of a restaurant, while another man crosses the street with a purple gift bag and rolling luggage. The waiter takes a break after cleaning up the cafe, and the last customer leaves."
411,A person sitting on tan bench and man in green shirt standing on black and gray floor.,The men are in a retro diner.,Women are in an outdoor park.,neutral,contradiction,"A man in an apron sits at a table in front of a restaurant, while another man crosses the street with a purple gift bag and rolling luggage. The waiter takes a break after cleaning up the cafe, and the last customer leaves."
412,They swim laps across the pool.,People swim in the pool,Some people engage in water activities.,entailment,neutral,A large competition sailboat is surrounded by three small boats in the middle of the water. There are four boats in the middle of the water.
413,They swim laps across the pool.,People swim in the pool,People sink in the desert.,entailment,contradiction,A large competition sailboat is surrounded by three small boats in the middle of the water. There are four boats in the middle of the water.
414,A sailor directs a group of people while they are on a boat.,A sailor scolding his crew.,A sailor praising his crew.,neutral,contradiction,A man is navigating a boat. A man is steering a large yacht down the lake.
415,A sailor directs a group of people while they are on a boat.,A sailor scolding his crew.,The sailor is directing his crew on the boat.,neutral,entailment,A man is navigating a boat. A man is steering a large yacht down the lake.
416,A fisherman has his foot caught in his net.,The fisherman is touching the net.,A person is near the net.,entailment,neutral,A rescue diver just getting out of the dirty water. The rescue diver is emerging from the dirty water.
417,A fisherman has his foot caught in his net.,The fisherman is touching the net.,The fisherman is not touching the net.,entailment,contradiction,A rescue diver just getting out of the dirty water. The rescue diver is emerging from the dirty water.
418,The boy in yellow shorts leaps from riverbank towards the river.,A boy sitting in a chair,The boy is standing.,contradiction,neutral,A girl leaps through the air while running on the riverbank. The girl is asleep on the riverbank.
419,The boy in yellow shorts leaps from riverbank towards the river.,A boy sitting in a chair,A boy standing,contradiction,entailment,A girl leaps through the air while running on the riverbank. The girl is asleep on the riverbank.
420,A man wearing a black shirt and sweater is looking down.,the guy wearing the black shirt and sweater was looking down,The guy wearing the black shirt and sweater was looking up.,entailment,contradiction,One man in all black in a bowling ally who just bowled with an orange ball. A man is bowling.
421,A man wearing a black shirt and sweater is looking down.,the guy wearing the black shirt and sweater was looking down,A person wearing a black shirt and sweater is looking down.,entailment,neutral,One man in all black in a bowling ally who just bowled with an orange ball. A man is bowling.
422,A man in a gladiator costume plays on his phone.,A performer is playing a game on his phone in between shows.,A person is reading a book on a bench.,neutral,contradiction,This is a man in a photo booth. A man in a photo booth at a carnival.
423,A man in a gladiator costume plays on his phone.,A performer is playing a game on his phone in between shows.,A man is playing on his phone in between shows.,neutral,entailment,This is a man in a photo booth. A man in a photo booth at a carnival.
424,A skier wearing yellow and black is airborne.,The woman is preparing to begin skiing.,A person is engaging in winter sports.,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
425,A skier wearing yellow and black is airborne.,The woman is preparing to begin skiing.,The woman is in the air.,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
426,A man and woman are apparantly laughing.,The husband and his wife are remembering good times.,The man's wife and her husband are arguing.,neutral,contradiction,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
427,A man and woman are apparantly laughing.,The husband and his wife are remembering good times.,The man and woman are laughing,neutral,entailment,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
428,A little boy playing with sand on the beach.,The boy is in a tent in the woods.,A boy is playing on the beach.,contradiction,neutral,A person in red playing football on the beach. There is someone surfing at the beach.
429,A little boy playing with sand on the beach.,The boy is in a tent in the woods.,The boy is on the beach.,contradiction,entailment,A person in red playing football on the beach. There is someone surfing at the beach.
430,A hockey player in a blue shirt scoring a goal against a team in white shirts.,a hockey is scoring a goal,A person is participating in a game.,entailment,neutral,A group of people play a game in the road. people playing a game
431,A hockey player in a blue shirt scoring a goal against a team in white shirts.,a hockey is scoring a goal,A soccer player is missing a goal.,entailment,contradiction,A group of people play a game in the road. people playing a game
432,Three men are talking over drinks.,Three men have drinks.,The men are drinking.,entailment,neutral,"A man and a woman seated at a table, having drinks and deep in conversation. Two people are speaking with each other."
433,Three men are talking over drinks.,Three men have drinks.,Three women do not have drinks.,entailment,contradiction,"A man and a woman seated at a table, having drinks and deep in conversation. Two people are speaking with each other."
434,A street vendor tends to his stand with lots of kids toys and items.,A man is selling bread inside a bakery.,The vendor is selling items on the street.,contradiction,neutral,Man reading a book while working as a street vendor. A man flies a kite.
435,A street vendor tends to his stand with lots of kids toys and items.,A man is selling bread inside a bakery.,A man is selling toys and items to kids.,contradiction,entailment,Man reading a book while working as a street vendor. A man flies a kite.
436,"A little boy wearing goggles on top of his head, walks through a deep water puddle with long pants on.",A boy is splashing through a puddle for fun.,The boy with goggles on top of his head walks through a deep water puddle.,neutral,entailment,"A little girl wearing a pink, yellow and white bathing suit, gets wet from a splash of water. A girl gets wet from a splash of water by her brother."
437,"A little boy wearing goggles on top of his head, walks through a deep water puddle with long pants on.",A boy is splashing through a puddle for fun.,A boy is avoiding a puddle out of necessity.,neutral,contradiction,"A little girl wearing a pink, yellow and white bathing suit, gets wet from a splash of water. A girl gets wet from a splash of water by her brother."
438,Some Caucasian athletes are relaxing on a field.,Some white athletes are sleeping on a field.,Some black athletes are sleeping on a field.,neutral,contradiction,Two men in animal print pants sleep on a white bed. Two guys are exhausted after making love.
439,Some Caucasian athletes are relaxing on a field.,Some white athletes are sleeping on a field.,Some Caucasian athletes are sleeping on a field.,neutral,entailment,Two men in animal print pants sleep on a white bed. Two guys are exhausted after making love.
440,Two men are driving in opposite directions on motorbikes while another man walks past them.,The two men have motorbikes.,The two men do not have motorbikes.,entailment,contradiction,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
441,Two men are driving in opposite directions on motorbikes while another man walks past them.,The two men have motorbikes.,Men are riding motorbikes.,entailment,neutral,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
442,A woman with a backpack and a child kneeling in the sand on a beach with boats in the background.,A man eats a slice of cake.,The woman is on a beach.,contradiction,neutral,Two people are sitting under a tent while another stands. Two people sitting under a tent while another bakes a cake.
443,A woman with a backpack and a child kneeling in the sand on a beach with boats in the background.,A man eats a slice of cake.,A man eats a slice of sand.,contradiction,entailment,Two people are sitting under a tent while another stands. Two people sitting under a tent while another bakes a cake.
444,Two girls play a competitive game of frisbee.,Two girls are singing on stage.,The two girls are playing a game.,contradiction,neutral,Male and female performers stand on stage holding microphones up to their lips and raising their hands in the sky. Male and female performers sit on stage.
445,Two girls play a competitive game of frisbee.,Two girls are singing on stage.,,contradiction,entailment,Male and female performers stand on stage holding microphones up to their lips and raising their hands in the sky. Male and female performers sit on stage.
446,A man with a can walks past a painting of a construction scene.,A piece of art.,A destruction scene.,entailment,contradiction,A man walking in front of a black cement wall with a bag on his shoulder. A man is taking a walk.
447,A man with a can walks past a painting of a construction scene.,A piece of art.,A painting.,entailment,neutral,A man walking in front of a black cement wall with a bag on his shoulder. A man is taking a walk.
448,Six small children sitting at a desk.,There are six children on a roller coaster,Six kids are playing on a playground.,contradiction,neutral,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
449,Six small children sitting at a desk.,There are six children on a roller coaster,There are six small children sitting at a desk.,contradiction,entailment,Two children playing on the floor with toy trains. The girls slept on the floor next to the toys.
450,Young men looking through a fence.,A young man watches a baseball game through a fence.,The young men are looking at something.,contradiction,neutral,Man looking at a woman that is smoking on the sidewalk. Men play bingo at shady tables in a local community park.
451,Young men looking through a fence.,A young man watches a baseball game through a fence.,Young men look through a fence.,contradiction,entailment,Man looking at a woman that is smoking on the sidewalk. Men play bingo at shady tables in a local community park.
452,An elderly black man drinking a beer.,A man takes a drink.,The man has a drink.,entailment,neutral,"A man and a woman seated at a table, having drinks and deep in conversation. Two people are speaking with each other."
453,An elderly black man drinking a beer.,A man takes a drink.,A woman refuses to drink.,entailment,contradiction,"A man and a woman seated at a table, having drinks and deep in conversation. Two people are speaking with each other."
454,A man stands outside of a mobile Thai food truck.,The man is sitting in a recliner.,A man is standing.,contradiction,neutral,Asian man giving thumbs up on street. An Asian man is eating soup in an art gallery.
455,A man stands outside of a mobile Thai food truck.,The man is sitting in a recliner.,The man is standing.,contradiction,entailment,Asian man giving thumbs up on street. An Asian man is eating soup in an art gallery.
456,A little boy jumping off of a dock into a lake.,A little boy pushed into a lake,,neutral,entailment,A young boy and his dog play at the edge of a public beach. the kid plays with his dog at the beach on a saturday
457,A little boy jumping off of a dock into a lake.,A little boy pushed into a lake,The little boy jumping off of a dock into a lake.,neutral,contradiction,A young boy and his dog play at the edge of a public beach. the kid plays with his dog at the beach on a saturday
458,Two women eating soup in a restaurant.,THe two women are eating spaghetti.,The women are eating.,contradiction,neutral,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
459,Two women eating soup in a restaurant.,THe two women are eating spaghetti.,The two women are eating soup.,contradiction,entailment,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
460,A small group of people is chatting in a city plaza.,A group of people are talking.,People are communicating.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
461,A small group of people is chatting in a city plaza.,A group of people are talking.,A person is alone and not talking.,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
462,Two construction workers cutting a piece of concrete road.,One man sips a cup of coffee while leaning back at his desk.,A person has a drink in a relaxed position.,contradiction,neutral,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
463,Two construction workers cutting a piece of concrete road.,One man sips a cup of coffee while leaning back at his desk.,One man cutting a piece of concrete road.,contradiction,entailment,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
464,A group of women sitting around a table for lunch.,A group of men meet at the bar.,A group of men sitting at a table.,contradiction,entailment,A woman is eating at a table as people walk by. A woman is typing on her computer while drinking coffee.
465,A group of women sitting around a table for lunch.,A group of men meet at the bar.,A group of people gather.,contradiction,neutral,A woman is eating at a table as people walk by. A woman is typing on her computer while drinking coffee.
466,"Two guys, one wearing a white shirt and one wearing a gray shirt, are in the street in front of a white van, one motioning towards the camera while the other claps.",Two guys are filming something,Two guys are not filming anything.,entailment,contradiction,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
467,"Two guys, one wearing a white shirt and one wearing a gray shirt, are in the street in front of a white van, one motioning towards the camera while the other claps.",Two guys are filming something,Two people are doing something.,entailment,neutral,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
468,Three people singing together.,A trio trying out for a show.,,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
469,Three people singing together.,A trio trying out for a show.,A trio performing a concert.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
470,A crowd standing around and hugging a bride.,The crowd is waiting for a bouquet .,The crowd is celebrating a wedding.,neutral,entailment,Friends running a race hand in hand. people running holding hands because they are in love
471,A crowd standing around and hugging a bride.,The crowd is waiting for a bouquet .,The crowd is running away from a monster.,neutral,contradiction,Friends running a race hand in hand. people running holding hands because they are in love
472,A man is walking past a red building while wearing specialized gear.,Toby was wearing his bullet proof vest while walking.,A person was wearing specialized gear while walking.,entailment,neutral,"A sunny street with a red building, parked cars, and a man walking down the road. The sun is shining."
473,A man is walking past a red building while wearing specialized gear.,Toby was wearing his bullet proof vest while walking.,Not Toby was not wearing a vest while walking.,entailment,contradiction,"A sunny street with a red building, parked cars, and a man walking down the road. The sun is shining."
474,A photographer peeks out between rocky hills to take a picture.,Paparazzi wait in cars to photograph Madonna.,A photographer peeks out between rocky hills to take a picture of Madonna.,contradiction,entailment,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
475,A photographer peeks out between rocky hills to take a picture.,Paparazzi wait in cars to photograph Madonna.,Photographers position themselves to take pictures.,contradiction,neutral,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
476,A man is seasoning food on a grill.,A man boils a stew,,contradiction,entailment,There is a blue bowl and a fruit platter on the table which is covered with a white tablecloth. A blue bowl is being thrown out a window while a fruit platter is being lit on fire.
477,A man is seasoning food on a grill.,A man boils a stew,The man cooks.,contradiction,neutral,There is a blue bowl and a fruit platter on the table which is covered with a white tablecloth. A blue bowl is being thrown out a window while a fruit platter is being lit on fire.
478,A man in drag with his face painted rides by on a bicycle.,a gay man cycles,a gay man cycles in drag.,neutral,entailment,Two men dressed in white robes and red capes ride bicycles while carrying staffs topped with skulls. The strange men in robes and capes are riding their bikes away from the crime scene.
479,A man in drag with his face painted rides by on a bicycle.,a gay man cycles,A man rides a unicycle.,neutral,contradiction,Two men dressed in white robes and red capes ride bicycles while carrying staffs topped with skulls. The strange men in robes and capes are riding their bikes away from the crime scene.
480,A man in a muddy field sowing seeds.,A man is sowing seeds,The man is planting.,entailment,neutral,People walking through dirt. People are outside.
481,A man in a muddy field sowing seeds.,A man is sowing seeds,A man is reaping seeds.,entailment,contradiction,People walking through dirt. People are outside.
482,A police officer in a black uniform and protective gear is standing in a crowd.,A police officer is working crowd control.,A police officer is on vacation.,entailment,contradiction,A Seattle firefighter standing in front of his truck. The firefighter is standing.
483,A police officer in a black uniform and protective gear is standing in a crowd.,A police officer is working crowd control.,The police officer is present in the crowd.,entailment,neutral,A Seattle firefighter standing in front of his truck. The firefighter is standing.
484,Time-lapse of a female toddler playing in a living room.,A toddler is playing with dolls.,An adult is playing the guitar.,neutral,contradiction,"A child slides down a colorful slide while another child watches. A child watches a friend slide down the slide, excited to slide down herself."
485,Time-lapse of a female toddler playing in a living room.,A toddler is playing with dolls.,A toddler is playing in a living room.,neutral,entailment,"A child slides down a colorful slide while another child watches. A child watches a friend slide down the slide, excited to slide down herself."
486,A smiling woman carries two baskets full of produce on a bamboo pole.,woman coming from her garden,The woman carrying produce from her garden.,neutral,entailment,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
487,A smiling woman carries two baskets full of produce on a bamboo pole.,woman coming from her garden,A man is leaving a grocery store with two baskets full of produce on a bamboo pole.,neutral,contradiction,A young dark-haired woman crouches on the banks of a river while washing dishes. A woman washes dishes in the river while camping.
488,"A man in shorts, t-shirt and a baseball cap sleeps in the back of a vehicle next to luggage.",A human sleeping,An animal is awake.,entailment,contradiction,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
489,"A man in shorts, t-shirt and a baseball cap sleeps in the back of a vehicle next to luggage.",A human sleeping,A person is resting.,entailment,neutral,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
490,Group of people watching men in baseball uniforms play baseball.,Two teams were playing baseball.,One team was playing tennis.,neutral,contradiction,Four black teenagers are playing basketball inside a gymnasium while another one watches. Four teenagers practicing for a basketball game.
491,Group of people watching men in baseball uniforms play baseball.,Two teams were playing baseball.,The two teams that the group of people were watching were playing baseball on the field,neutral,entailment,Four black teenagers are playing basketball inside a gymnasium while another one watches. Four teenagers practicing for a basketball game.
492,A man in a green machine is cleaning a pump in front of the Drake hotel.,A man is cleaning a pump in front of a building.,The man is working outside.,entailment,neutral,A rescue diver just getting out of the dirty water. The rescue diver is emerging from the dirty water.
493,A man in a green machine is cleaning a pump in front of the Drake hotel.,A man is cleaning a pump in front of a building.,A man is painting a wall inside a museum.,entailment,contradiction,A rescue diver just getting out of the dirty water. The rescue diver is emerging from the dirty water.
494,Two women wearing green shirts are getting off a tour bus.,Some women are talking about what they plan to do while getting off the bus.,The women are not talking while getting off the bus.,neutral,contradiction,A woman wearing a yellow and white outfit is exiting the vehicle while using city transportation. A woman dressed in white pants and a yellow blouse exits the large city bus.
495,Two women wearing green shirts are getting off a tour bus.,Some women are talking about what they plan to do while getting off the bus.,The women are discussing their plans while getting off the bus.,neutral,entailment,A woman wearing a yellow and white outfit is exiting the vehicle while using city transportation. A woman dressed in white pants and a yellow blouse exits the large city bus.
496,Several people are riding on a roller coaster while reacting to going through a loop in various ways.,The roller coaster is out of service and nobody can ride it.,"A roller coaster is not in use, and it is not being used.",contradiction,neutral,A group of onlookers glance at a person doing a strange trick on her head. A boy does a card trick.
